serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,000538,云南白药,1305611.3712,908982.2152,799320.7044,241572.2076,,53320943.87,-11.57,463926.1396,,1479394.6607,0.18,,,33.56,,38503673.74,2022FY,2022
2,000538,云南白药,1421800.0,996617.0447,644219.4824,14900.0,,5378429.3183,0.87,435963.2642,,1385478.849,-0.84,,,25.8,1810214.7836,3987912.2031,2023FY,2023
3,000538,云南白药,1254569.475,966320.8605,697039.5685,154102.4256,,5192644.867534,-2.62,452129.391,,1333001.4257,10.5,155305.7007,,34.45,1672044.4919,3859791.017918,2023HY,2023
4,000538,云南白药,,,,,,5473279.6774,2.65,,,,,,,,1823843.3275,4005210.8942,2023Q1,2023
5,000538,云南白药,,,,,,5333234.92,,,,,,,,,,3988746.26,2023Q3,2023
6,000538,云南白药,108880000000.0,992336.1104,629436.8316,,,52914181.33305,-1.62,475835.2404,,1404809.6771,1.4,,,26.55,,38831946.42451,2024FY,2024
7,000538,云南白药,147195.6353135,1010545.7471,598805.939,,,54367545.23224,1.08,373404.044,,1497737.7452,12.36,,,27.55,,39369278.20503,2024HY,2024
8,000538,云南白药,1679481.8738,1158008.113,613163.5453,13411.2464,,5687435.1095,5.75,460807.856,,1527083.3941,,,,26.85,1980407.9282,4158011.7445,2024Q1,2024
9,000538,云南白药,,,,,,5561251.913,4.28,,,,,,,,,4052238.0083,2024Q3,2024
10,000538,云南白药,1129382.9361,13353.7272,41720.5596,3326.815,20404.6628,5453549.07,3.06,156229.1989,96.4632,19952.1874,14.36,160772.2043,42186.0618,25.91,1849989.9504,4040660.11,2025HY,2025
11,000538,云南白药,1106168.709694,1092365.68617,597043.502583,,,5425302.631764,2.53,,,1345805.715171,-8.49,,,32.16,,4079496.916593,2025Q1,2025
12,000538,云南白药,8617685450.33,10255633035.81,5777215651.87,4469452687.43,,53343484721.39,0.81,4830438644.04,,13525611110.78,-4.43,,,25.35,17825944281.08,39817873610.61,2025Q3,2025
