serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,000538,云南白药,-5823704829.85,-103.45,3209410.03,139.27,1304616.0012,-631608.2801,-27.41,48819.3161,117077.117,70742.8892,82159.4595,-273330.3732,-11.86,2022FY,2022
2,000538,云南白药,1105605456.02,9.14,350274.2348,317.48,1415176.5468,51858.0663,47.0,110560.5456,0.0,0.0,0.0,-291804.224,-264.49,2023FY,2023
3,000538,云南白药,-543421662.08,63.5,225195.13701,-410.45,0.0,30708.8767,-55.97,0.0,0.0,0.0,0.0,-310770.0964,566.42,2023HY,2023
4,000538,云南白药,544131568.66,,73374.4202,133.56,,-31563.3658,-57.45,,,,,13127.699,23.9,2023Q1,2023
5,000538,云南白药,-2464.49,,258958.65,-34666.49,,53408.21,-7149.69,,,,,-313113.86,41916.18,2023Q3,2023
6,000538,云南白药,4297003142.27,22.68,4297003.14227,123.5,830198.0472,-119900.1046,-3.45,921821.4487,704300.65,82241.9214,170265.3581,-697773.5164,-20.05,2024FY,2024
7,000538,云南白药,326161.739199,44.84,3261617.39199,111.45,355397604.71,-20558.268832,-0.7,2936895000.0,,40525603.23,72018152.38,-314551.492897,-10.75,2024HY,2024
8,000538,云南白药,2580766326.11,374.29,52705.9805,20.41,,126463.0985,48.98,,,,,79004.4548,30.6,2024Q1,2024
9,000538,云南白药,-748958210.47,-30389887.81,4073138745.34,-545.74,,-1157794613.21,155.13,,,,,-3661695477.51,490.61,2024Q3,2024
10,000538,云南白药,41696.94,565.74,396118.72,938.54,2125700.0,-95528.7317,-226.34,,,,,-258384.1878,-612.2,2025HY,2025
11,000538,云南白药,,,71359.755965,406.03,,-6663.830782,-37.92,,,,,-47120.932107,-268.11,2025Q1,2025
12,000538,云南白药,-2233871128.5,-198.26,4455969511.54,-200.04,,-2213387280.77,99.37,,,,,-4470094047.29,200.68,2025Q3,2025
