serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,000538,云南白药,1.9,36488372.65,0.31,0.31,3001125.89,7.0,7.0,21.43,7.87,1.79,3232024.51,-3.23,63.47,7.87,8.42,2022FY,2022
2,000538,云南白药,2.29,3911129.2156,7.19,20.53,409378.2074,36.41,-20.53,22.2,10.51,0.83,376360.5361,16.45,26.83,10.4,11.3,2023FY,2023
3,000538,云南白药,1.58,1038805.1396,12.5,-1.19,99876.837,12.5,-34.2,14.12,7.17,0.07,273705.57859,65.43,54.42,13.89,7.17,2023HY,2023
4,000538,云南白药,0.85,1051275.0996,11.49,-97.12,151798.8357,66.01,-94.94,,3.79,0.4109,140268.0418,6.29,53.67,14.43,3.5,2023Q1,2023
5,000538,云南白药,0.73,937915.92,,-9.71,129546.58,61.05,29.71,,3.25,1.4592,111615.06,6.28,,13.81,2.8,2023Q3,2023
6,000538,云南白药,2.66,40033300.81472,923.57,4131.91,4749415.49955,16.02,4073.85,22.19,11.99,2.42,4523057.53823,20.18,65.93,11.99,11.42,2024FY,2024
7,000538,云南白药,1.79,20455286.28752,0.72,1798.53,3188829.9031,12.76,12.5,14.06,7.93,3.26,3135015.34093,14.54,67.37,22.5,7.96,2024HY,2024
8,000538,云南白药,0.95,1077429.0921,2.49,-72.45,170193.1446,12.12,-58.43,,4.09,0.2942,169041.1601,20.51,,15.8,4.07,2024Q1,2024
9,000538,云南白药,0.63,945986.8782,0.86,-95.38,113789.8165,-12.16,-96.43,,2.84,22551.0286,112985.9005,1.23,,12.03,2.79,2024Q3,2024
10,000538,云南白药,2.04,553589.9311,3.92,-48.94,252486.4331,13.93,30.51,22.63,9.09,3.2005,346091.54,10.4,67.93,17.1,9.09,2025HY,2025
11,000538,云南白药,1.08,1084123.772129,0.62,-97.29,193463.95846,13.67,-95.93,22.84,4.86,0.3984,188740.684546,11.65,,17.85,4.63,2025Q1,2025
12,000538,云南白药,0.64,9397111312.99,-0.66,1697385.95,1144208354.35,0.55,453076.17,,2.87,2.4924,1089023837.43,-3.61,30.06,12.18,2.74,2025Q3,2025
