serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,000538,云南白药,-110677.3711,7.0,,3648837.265,,,4165563.9,833784.26,-342878.38,33672.369,,4690142.149,-1041304.884,,,,2022FY,2022
2,000538,云南白药,412256.1096,36.41,83315147.32,3911129.2156,13.43,2815369.4975,499215.7591,105850.3524,-25924.3745,33601.3435,,3428112.578,483050.611,481801.1757,-58127562.23,-136455204.36,2023FY,2023
3,000538,云南白药,282801.16153,88.47,,2030937.285007,11.3,,225768.855,34444.381,-10599.0571,14481.9934,,264096.1723,4509000.0,,,,2023HY,2023
4,000538,云南白药,151572.3472,,,,,,,,,,,,173018.0726,172715.3106,,,2023Q1,2023
5,000538,云南白药,476707.236,16.02,10200.9774,40033000000.0,2.36,,-2.26,-1.98,,,,-4.24,40033010205.2174,,-9123.071,-3992.5927,2024FY,2024
6,000538,云南白药,318996.2851,12.8,,2045528.6288,0.72,,68969121.01,39828301.28,22936642.33,156079128.47,5746520.33,156079128.47,3189000000.0,3189000000.0,,,2024HY,2024
7,000538,云南白药,169904.6405,12.12,3741.4865,,,754446.7227,123336.2283,16143.7289,-6722.145,5728.2132,,892932.7481,191801.9878,191969.4291,,,2024Q1,2024
8,000538,云南白药,432672.8068,,,2991515.507,,,,,,,,,,,,,2024Q3,2024
9,000538,云南白药,363291.13,13.93,1358.6307,2125710.29,5.46,189302.4451,134410.9036,16450.3933,-3699.177,10067.4255,6899.1176,353431.1081,423187.1842,423187.1842,-4174.3184,-9838.2643,2025HY,2025
10,000538,云南白药,192751.120349,13.45,1533.176207,,,,107013.243421,15640.105822,-920.444316,6012.22219,,127745.1271,225530.545043,225598.1395,,,2025Q1,2025
11,000538,云南白药,4789170075.42,1106780.3,,30654214209.01,2.47,21439589799.52,3715299786.11,555274908.29,,234998200.97,168628336.49,26074760939.86,5605052816.15,5615098543.69,,,2025Q3,2025
