serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,000766,通化金马,32503060.56,115.34,19816.3858,609.68,20750.8229,-2123.9036,-65.34,20750.8229,20750.8229,20750.8229,20750.8229,-14442.1762,-444.33,2022FY,2022
2,000766,通化金马,112779071.13,-43.09,397201.61,0.15,,267937914.39,99.14,,,,,1929844.69,0.71,2023FY,2023
3,000766,通化金马,41102119.7,-29.25,4110.212,-447.74,,8915.6597,-971.21,,,,,-13943.8645,1518.95,2023HY,2023
4,000766,通化金马,-18441114.7,,675.2719,-36.62,,9359.0709,-507.51,,,,,-11878.4543,644.13,2023Q1,2023
5,000766,通化金马,,,8503.5967,-148.45,,8329.2449,-145.4,,,,,-22561.2747,393.85,2023Q3,2023
6,000766,通化金马,10672.924397,257.07,16274.648978,152.49,80731.3621,-4912.468079,-46.03,1753.0108,4.58,17500.0,9000.0,-689.256502,-6.46,2024FY,2024
7,000766,通化金马,88948.75895,1068.95,3810.842415,42.84,,-1683.767153,-18.93,,,,,6767.800633,76.09,2024HY,2024
8,000766,通化金马,,31.01,11140.75,110.4,,-2614.7172,-25.91,,,,,1564.9769,15.51,2024Q3,2024
9,000766,通化金马,6611.700324,-25.67,7804.756888,102.67,,18.2192,0.24,,,,,-221.5454,-2.91,2025HY,2025
10,000766,通化金马,5763.540409,473.28,4180.004938,72.52,,-508.256114,-8.82,,,,,2091.791585,36.29,2025Q1,2025
11,000766,通化金马,,-36.44,7081.3022,158.4,,-806.9119,-18.05,,,,,-1803.8034,-40.35,2025Q3,2025
