serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,000766,通化金马,3015.1349,-14.52,1143.956,147074.8775,,35320.864,81514.4864,10832.5409,14678.3768,6490.8683,1157.287,108827.9156,5017.3952,5017.3952,28.0792,-40.5209,2022FY,2022
2,000766,通化金马,4322.5936,43.36,,147334.5301,0.18,,,,,,,,,,,,2023FY,2023
3,000766,通化金马,1077.6911,12.5,0.0,72849.1083,12.5,18449.933,40879.0484,5288.3529,3775.567,2509.3148,500.0,70870.0,54399.1784,54401.4543,0.0,0.0,2023HY,2023
4,000766,通化金马,672.1301,20.29,238.6718,30855.7426,,,16241.1193,2579.3849,1767.6327,932.7635,,21520.9004,9573.514,,,,2023Q1,2023
5,000766,通化金马,1485.1915,24.76,,104424.2077,,,58462.5189,8004.9875,5774.2258,2974.0704,,75215.8026,29208.4051,,,,2023Q3,2023
6,000766,通化金马,5597.8243,29.53,368.6544,132255.7724,-10.25,15649.1541,67192.3476,11734.1174,7988.7973,5034.3178,265.7257,107864.4599,74930.0,6708.5017,,,2024FY,2024
7,000766,通化金马,1246.834298,15.69,525.3478,64918.171175,-10.89,16078.602653,35580.89479,5795.637626,3635.113458,3100.333241,121.845472,5795.637626,1246.834298,1246.834298,-245.1696,-544.3679,2024HY,2024
8,000766,通化金马,2386.4657,61.35,,96858.9177,-7.24,,,,,,,,,,,,2024Q3,2024
9,000766,通化金马,1680.39945,34.77,357.1306,64998.3808,0.12,17342.0641,33238.2006,5492.0869,3987.5928,1861.7477,795.2984,62716.9905,47656.3167,2420.3581,-18.6084,-178.4085,2025HY,2025
10,000766,通化金马,1156.998981,26.32,202.665335,29928.243673,1.25,8498.144617,14056.205219,2687.494768,1960.755057,1068.722931,,28271.3226,1859.5864,,-0.971784,-4.370228,2025Q1,2025
11,000766,通化金马,2499.1443,4.03,,89225.1129,-7.88,,43472.2717,8421.9083,6013.1424,2799.1553,,60706.4777,28518.6352,,,,2025Q3,2025
