serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,000999,华润三九,2.48,1807946.15,16.31,18.1,244880.21,19.16,18.1,17.22,15.15,3.05,221891.72,19.75,55.38,13.55,14.14,2022FY,2022
2,000999,华润三九,2.9,2473896.332,36.83,,285293.1665,16.5,,40.72,15.86,1.08,271098.4204,22.18,52.86,11.53,15.07,2023FY,2023
3,000999,华润三九,1.91,1314612.57,56.48,56.48,187712.47,30.99,30.99,18.15,12.83,1.79,182738.32,37.22,57.91,14.28,10.37,2023HY,2023
4,000999,华润三九,1.16,6352408.31871,,251.36,1151030.15088,,370.04,,6.54,0.0304,1131213.78887,,,18.12,48.86,2023Q1,2023
5,000999,华润三九,2.63,3436476925.2,12.5,60892.36,377774.1285,12.5,-32.72,15.23,17.33,3.37,311786.7348,15.01,58.17,12.19,16.04,2024FY,2024
6,000999,华润三九,1.87,1410601.276508,7.3,93.39,239836.013802,27.77,75.86,,12.32,1.8425,230859.715362,26.33,91.39,17.0,11.86,2024HY,2024
7,000999,华润三九,1.39,729407.0558,14.82,-70.52,136382.5964,18.49,-52.2,20.59,6.94,0.79,132784.0358,17.38,38.39,19.99,6.89,2024Q1,2024
8,000999,华润三九,0.44,5634274.23,,299.42,561472.73,,134.11,,21.54,,443680.22,,,9.97,17.02,2024Q3,2024
9,000999,华润三九,1.09,14810160.21862,4.99,2060.91,1815258.36279,-24.31,1329.25,12.60071902357,8.8,2860194.94131,1697709.12614,-26.46,59.74,12.26,8.8,2025HY,2025
10,000999,华润三九,1.0,685365.638375,-6.04,-99.98,127007.378452,-6.87,-66.38,,6.18,0.7715,121825.480475,-8.25,,18.53,57.52,2025Q1,2025
11,000999,华润三九,0.32,717624.3743,27.37,-95.15,53756.8593,-4.26,-97.04,,2.62,1.7414,48857.0772,10.12,,7.49,2.31,2025Q3,2025
