serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002082,万邦德,46761.8833,105271.1871,28315.2095,,47239.0887,421563.29,10.15,21879.0466,,17154.9948,8.35,,67655.6929,49.83,168529.9249,268808.59,2022FY,2022
2,002082,万邦德,22660.8247,96198.4898,25590.7021,,61133.2555,429635.79,1.85,27837.5623,,153738.5137,796.17,,82431.1578,54.75,79367.5351,265769.27,2023FY,2023
3,002082,万邦德,816.9426,0.0,1.0442,,,437547.282274,3.73,52.3631,,29257.1432,,,,10.09,,277075.714174,2023HY,2023
4,002082,万邦德,44735.8593,109568.8203,27812.3743,,,443459.4216,5.19,25691.8953,2813.2328,160260.5565,14.76,,79343.2615,36.14,171263.6206,283198.865,2023Q1,2023
5,002082,万邦德,,,,,,438032.5964,3.85,,,,,,,,,260337.758,2023Q3,2023
6,002082,万邦德,15872.67288,68190.350191,21385.870573,,51084.568856,432739.7081,0.68,23691.1657,,157095.435963,1.68,1682.4604,,62.12,165591.704736,266680.4346,2024FY,2024
7,002082,万邦德,15350.1935,85967.6359,26847.1122,,,432170.798815,0.59,23581.7487,,152999.6518,422.95,,,35.4,,269588.011872,2024HY,2024
8,002082,万邦德,19223.7964,91578.8525,23716.2115,,,440659.9506,2.57,28881.8309,,161861.2058,1.0,,,36.73,167957.7713,268827.7968,2024Q1,2024
9,002082,万邦德,19548.640401,68115.45545,22781.52283,1157.5187,14664.1794,442803.717539,2.33,20440.189984,,165444.09081,-3.86,8530.4469,1896.8766,59.75,13680.1707,277359.626729,2025HY,2025
10,002082,万邦德,5686.2665,74325.0847,21226.795,,,427106.9771,-1.3,21041.624,,150147.8652,-7.24,3470.6959,73956.6126,35.15,167111.8864,268330.9682,2025Q1,2025
11,002082,万邦德,8307.0796,72837.8486,24892.4311,,,454197.0797,,25694.7647,,,,,69265.283,,166038.482,267489.4571,2025Q3,2025
