serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002166,莱茵生物,-25842.21,-1084.84,-25842.21,-56.75,,-28175.25,-61.87,,,,,99557.39,218.62,2022FY,2022
2,002166,莱茵生物,-406600241.05,145.12,11658.997161,-28.51,11366.4423,-46399.958,113.48,5541.08,,40910.0,40630.0,-6147.4593,15.03,2023FY,2023
3,002166,莱茵生物,-18356.13,-24.66,6186.41,-33.42,47632.0,-23966.17,129.46,23966.17,59883.67,47048.94,36183.97,-732.32,3.96,2023HY,2023
4,002166,莱茵生物,-15482227.58,,-55.2283,3.55,,-9004.9151,579.56,,,,,7506.4054,-483.12,2023Q1,2023
5,002166,莱茵生物,-282447261.92,-131.21,10986.2689,-38.67,,-36526.914,128.56,,,,,-2870.9063,10.1,2023Q3,2023
6,002166,莱茵生物,-63895016.36,0.0,15971.36,-243.72,140611.2963,-19548.5118,298.31,22776.9871,0.0,78104.0,64655.0,-2975.9615,45.41,2024FY,2024
7,002166,莱茵生物,2961.745814,-52.12,2961.745814,116.61,72548.85,-10781.58818,-424.5,10781.58818,0.0,10359.700042,0.0,10359.700042,407.89,2024HY,2024
8,002166,莱茵生物,174008.65,101.12,1577.6635,100.0,,,,,,,,,,2024Q1,2024
9,002166,莱茵生物,85649220.62,130.32,14273.6454,169.22,,-14773.8563,-175.15,,,,,8935.3855,105.93,2024Q3,2024
10,002166,莱茵生物,7426.93,181.4,29477.72,405.44,604.8776,-8472.61,-116.53,4724.5131,,29388.9156,2199.6407,-13734.53,-188.91,2025HY,2025
11,002166,莱茵生物,158723372.71,91115.79,18293.6114,115.9,59410.6388,-5318.4747,-33.7,5332.455,,29188.9156,21102.0092,2808.92,17.8,2025Q1,2025
12,002166,莱茵生物,,,34645.7702,395.28,,-11470.8288,-130.87,,,,,-14410.0245,-164.41,2025Q3,2025
