serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002166,莱茵生物,0.29,126782.12,10.5,32.99,80519.14,50.92,50.92,4.2,7.76,0.75,14906.76,74.66,28.51,12.76,6.48,2022FY,2022
2,002166,莱茵生物,0.11,149392.95,6.65,6.65,8251.1,-53.84,-53.84,4.22,2.68,0.16,2061.56,-86.17,23.89,5.52,2.68,2023FY,2023
3,002166,莱茵生物,0.05,51217.16,,102.74,3619.64,-72.85,81.55,5.66,10.58,1.17,396.37,-96.47,24.99,8.58,1.17,2023HY,2023
4,002166,莱茵生物,0.03,25262.4843,,-80.07,1993.7379,-48.11,-97.52,,0.65,-0.0008,838.2853,-71.83,,7.89,0.27,2023Q1,2023
5,002166,莱茵生物,0.01,37680.5772,11.77,-26.43,470.4256,-88.93,-87.0,,0.15,10986.2689,-34.6244,-100.82,22.98,1.25,1.33,2023Q3,2023
6,002166,莱茵生物,0.22,177175.9915,18.6,18.6,16300.8774,97.56,18.6,,5.27,0.2156,15135.81,634.19,,9.2,4.89,2024FY,2024
7,002166,莱茵生物,0.09,72548.85,41.65,112.62,6489.31,79.28,142.23,4.23,2.07,0.0411,6535.93,1548.95,28.6,8.94,2.08,2024HY,2024
8,002166,莱茵生物,0.04,34121.5308,35.07,-77.16,2679.0064,34.37,-67.53,,0.86,0.0236,3957.0887,,26.05,7.85,1.27,2024Q1,2024
9,002166,莱茵生物,0.05,44447.6543,17.96,-38.73,3672.8643,680.75,-43.4,,1.21,0.1943,3916.5818,11411.63,,8.26,1.29,2024Q3,2024
10,002166,莱茵生物,0.05,83696.47,15.37,88.38,3811.0,-41.27,23.75,4.11,1.23,0.05,3369.34,-48.45,23.82,5.22,1.23,2025HY,2025
11,002166,莱茵生物,0.04,44429.2337,30.21,-74.92,3079.489,14.95,-81.11,,0.99,0.2376,3613.5337,-8.68,20.15,7.35,1.16,2025Q1,2025
12,002166,莱茵生物,0.04,43519.1159,-2.09,-48.0,3228.5274,-12.1,-15.28,,1.05,0.4292,2775.9273,-29.12,,7.42,0.9,2025Q3,2025
