serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002166,莱茵生物,17874.54,57.35,,140073.73,34.85,,,,,,,,90312.9423,80519.1423,,,2022FY,2022
2,002166,莱茵生物,82510982.99,12.5,19778163.88,1493929546.69,1066430.85,1129187821.45,54024604.22,139748302.56,24428646.15,48385939.81,,1395775314.19,117932396.38,,-44290289.27,5659484.39,2023FY,2023
3,002166,莱茵生物,4346.4484,,1042.3558,51217.1633,,,2406.48,5866.08,555.99,2254.18,436.04,4390.0,7276.16,7276.16,104.2,-128.31,2023HY,2023
4,002166,莱茵生物,,,324.4106,,-10.55,,1057.3362,2080.4934,409.9796,1164.2234,,4712.0326,,,,111.6339,2023Q1,2023
5,002166,莱茵生物,5312.1628,-76.33,1233.4493,88897.7405,,68472.0224,3697.4138,9756.5995,1490.644,3489.4502,,86906.1299,3225.0599,,-178.1639,-915.9593,2023Q3,2023
6,002166,莱茵生物,16300.88,97.56,,177175.99,-99.99,,,,,,,,34504.0798,,,,2024FY,2024
7,002166,莱茵生物,6489.31,49.3,1384.332084,72548.8517,41.65,51802.201619,2800.310324,6278.014891,1205.232969,3443.209896,,65528.9697,12961.835151,13472.52813,22.315957,238.690891,2024HY,2024
8,002166,莱茵生物,2679.0064,,,34121.5308,,25232.2969,,,,,,25232.2969,8889.2339,,,,2024Q1,2024
9,002166,莱茵生物,10601.5788,107.37,,116996.5061,31.61,,4241.0232,9715.8132,2483.4631,4736.3854,,21176.6849,95819.8212,,,,2024Q3,2024
10,002166,莱茵生物,3811.0,-41.27,961.55,83696.4658,15.37,63972.49,3247.22,6214.31,1844.83,2621.7118,521.21,63972.49,3811.0,3811.0,-159.09,-159.09,2025HY,2025
11,002166,莱茵生物,,14.95,158.2441,,30.21,34646.1299,1379.2873,1980.7614,804.1772,1152.4403,,39962.7961,,,,,2025Q1,2025
12,002166,莱茵生物,7919.1844,-25.3,,127215.5817,8.73,,4906.2313,9599.3428,2730.7511,5041.5866,,22277.9118,104937.6699,,,,2025Q3,2025
