serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002219,新里程,55891.2938,75476.0692,16443.0364,,52862.3764,564211.896471,-15.67,114003.892,,387673.27,50.27,,,68.71,,172314.315829,2022FY,2022
2,002219,新里程,15471.7202,9924.1048,16973.3877,,,608020.4991,7.48,114172.1193,,384569.8741,79.86,3056234.9,716486474.08,63.3,-197953.1676,219568.9411,2023FY,2023
3,002219,新里程,65668.120581,97107.723304,16112.189349,,54728.753221,590497.89394,4.66,117524.270921,,376563.966329,-3.21,,69903.792917,63.77,-203037.9322,213933.927611,2023HY,2023
4,002219,新里程,77988.56082,82448.255491,16942.550269,,,583294.789671,,,,378456.002996,,,,64.88,,204838.786675,2023Q1,2023
5,002219,新里程,15186.2001,76638.1466,20235.3591,,80589.5354,667719.22,1.31,148768.6522,,463646.2586,0.0,,,0.0,-296310.5462,198497.93,2024FY,2024
6,002219,新里程,49228.722642,125372.575416,21250.932328,,69828.404862,630429.221843,3.69,145714.916635,,395734.804419,3.69,,,62.77,-197410.4087,234694.417424,2024HY,2024
7,002219,新里程,49371.1478,108585.9204,22999.456,,65333.9669,618826.8275,1.78,137619.8487,,390237.1764,1.78,,,63.12,,224735.8481,2024Q1,2024
8,002219,新里程,47026.920121,118686.541471,18432.733622,649.5442,89816.283966,672710.346149,0.75,147645.961105,,466570.937163,2.55,,,70.07,,200603.451314,2025HY,2025
9,002219,新里程,,,,,,669748.018877,8.23,,,,,,,,,207230.479128,2025Q1,2025
10,002219,新里程,30781.8925,116293.6291,19824.4863,,,655349.4556,,,,453030.0621,,,,69.13,,202319.3936,2025Q3,2025
