serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002219,新里程,0.0477,315273.488063,4.53,4.53,15562.195897,141.9,141.9,0.53,9.52,0.0822,9120.953537,121.96,23.52,4.94,5.68,2022FY,2022
2,002219,新里程,0.0091,359048.206,13.88,,3077.6552,-80.29,,0.64,1.51,0.08,2947.1418,-67.83,4.9,5.2,9.32,2023FY,2023
3,002219,新里程,0.0171,160672.336498,5.6,106.47,5700.455673,13.15,164.23,,2.91,0.0376,4930.443447,18.39,32.76,3.55,2.51,2023HY,2023
4,002219,新里程,0.0065,77818.061402,,-75.32,2157.424531,,-86.14,,1.18,0.0115,2036.888507,1716.09,,2.77,0.99,2023Q1,2023
5,002219,新里程,0.0349,379901.03,5.81,,11476.55,296.13,296.13,0.0,0.0,0.0,9708.03,223.48,49.48,26.34,0.0,2024FY,2024
6,002219,新里程,0.0176,182024.2878,12.2,110.96,6014.45125,5.27,146.44,,2.68,0.0423,5855.505185,18.46,29.06,3.3,2.49,2024HY,2024
7,002219,新里程,0.0072,86283.7569,9.85,-75.97,2440.4959,12.19,-20.7,,1.09,0.0032,2516.4875,22.47,,2.83,1.12,2024Q1,2024
8,002219,新里程,0.0022,158788.963068,-23.85,99.45,743.105316,-88.25,-71.03,,0.46,0.0419,936.872846,-84.93,98.29,26.15,0.47,2025HY,2025
9,002219,新里程,0.0076,79615.215894,-7.73,-79.04,2565.187115,5.11,-77.65,,1.28,-0.0113,2651.802749,,,3.22,1.28,2025Q1,2025
10,002219,新里程,-0.0136,66820.5838,-29.26,-57.92,-4589.9265,-604.29,-717.67,,-2.27,15095.6067,-4279.0457,-330.77,,-6.87,-2.11,2025Q3,2025
