serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002317,众生药业,0.4,267615.16,10.17,10.17,32205.03,16.0,16.0,4.55,8.98,0.0774,30041.86,0.27,67.52,12.03,8.98,2022FY,2022
2,002317,众生药业,0.32,2610550.12,12.68,,26327.32,-18.25,,14.68,12.5,0.2317,30477.72,1.45,60.96,10.08,12.5,2023FY,2023
3,002317,众生药业,0.26,148228.947529,,98.49,20855.030683,3.12,49.63,,5.57,0.079,22938.619495,22.12,64.07,14.07,6.13,2023HY,2023
4,002317,众生药业,0.17,74676.52,10.5,-72.1,13937.62,86.86,-56.72,,3.73,-0.178,12802.71,1.47,,18.66,3.23,2023Q1,2023
5,002317,众生药业,-0.36,2467418.39,-5.48,4438.57,-29915.71,-213.63,-587.28,4.59,-7.24,0.4066,-26031.27,-185.41,58.06,-12.12,-7.24,2024FY,2024
6,002317,众生药业,0.1,136436.67228,12.5,112.81,8740.978147,12.5,70.41,,2.0,0.2433,17368.164027,-24.28,65.43,15.26,4.06,2024HY,2024
7,002317,众生药业,0.06,64112.3852,-14.15,-97.54,5129.3866,-63.2,-80.52,,1.12,-0.0929,7222.6907,-43.58,,8.0,1.58,2024Q1,2024
8,002317,众生药业,0.08,54365.5317,-7.7,-60.15,6139.2646,-13.46,-29.76,5.15,1.42,0.3915,1471.9589,-79.17,,11.29,0.32,2024Q3,2024
9,002317,众生药业,0.22,129972.9913,-4.74,-4.74,18789.5838,114.96,114.96,,4.72,0.0464,18656.4655,7.42,59.47,14.46,4.69,2025HY,2025
10,002317,众生药业,0.1,63426.14,-1.07,-97.43,8261.18,61.06,127.61,,2.02,-0.0346,7843.48,8.6,53.46,13.02,1.92,2025Q1,2025
11,002317,众生药业,0.08,58902.3963,8.35,-54.68,6268.2193,2.1,-66.64,,1.61,0.1978,5902.968,301.03,44.45,10.64,1.43,2025Q3,2025
