serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002317,众生药业,31534.8403,14.66,,267615.1617,10.17,,100008.145291,17153.962861,5722.945056,15659.094225,,138544.1474,32847.544373,32847.544373,,,2022FY,2022
2,002317,众生药业,24990.0941,100.0,2004.2986,261055.0121,-2.45,,88989.74,15564.62,1678.42,12736.9,,118969.68,20198.95,20198.95,-1674.6461,39.8937,2023FY,2023
3,002317,众生药业,21224.8754,0.0,224.0192,148228.9475,0.26,27886.1039,50786.508342,7607.75392,1343.689973,16668.397745,2110.360792,106402.8147,0.0,0.0,,,2023HY,2023
4,002317,众生药业,13804.71,,,,,,23991.69,3822.66,291.1979,2644.38,,30749.9279,16158.45,,,,2023Q1,2023
5,002317,众生药业,-37396.3482,-249.64,2678.4475,246741.8395,-5.48,,85043.3612,15174.9299,882.7071,11120.3586,,112221.3568,137198.9302,,-54668.0715,-566.2804,2024FY,2024
6,002317,众生药业,8740.978147,-58.09,6927841.9,136436.67228,-7.96,58770.066015,44251.454278,6954.208811,402.462027,13943.365504,2077.336287,136436.67228,136436.67228,8740.978147,-919357.81,0.0,2024HY,2024
7,002317,众生药业,,,321.7672,,,,21362.7194,3298.6828,223.0173,2997.1407,,27881.5602,,,-150.6358,-53.2781,2024Q1,2024
8,002317,众生药业,13591.0864,-46.76,,190802.204,-7.88,,,,,,,,,,,,2024Q3,2024
9,002317,众生药业,3373.2815,-61.41,1746.4803,129972.9913,-4.74,54502.2213,43787.6903,6623.5039,-285.1991,8752.394,1038.0674,114418.6778,17300.7938,21881.9356,,,2025HY,2025
10,002317,众生药业,8144.821701,,907.95671,63426.14,,,21856.744702,3057.584115,-2.350584,1592.356559,,26504.3348,37829.7619,,,,2025Q1,2025
11,002317,众生药业,24549.7657,80.55,,188875.3876,-1.01,,64120.2997,9908.6287,-480.5451,5991.9853,,79540.3686,109335.019,,,,2025Q3,2025
