serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002390,信邦制药,283351897.94,,59079.6586,208.5,635002.5827,-11802.1319,-41.65,0.0,160.8244,11098.9027,10217.0222,-18942.4268,-66.85,2022FY,2022
2,002390,信邦制药,79061.8,33.82,79061.803,-1192.08,676954.7331,5025.909,-75.78,13608.106,18634.015,131365.0222,222085.0022,-90719.98,1367.86,2023FY,2023
3,002390,信邦制药,-8517.39,-115.66,18040.6364,100.0,,0.0,0.0,,,,,0.0,0.0,2023HY,2023
4,002390,信邦制药,14820053.26,,217.8741,14.7,,-4820.9725,-325.31,,,,,6085.0728,410.61,2023Q1,2023
5,002390,信邦制药,,36.85,72813.5123,398.4,,-4479.3241,-24.51,,,,,-50057.8444,-273.89,2023Q3,2023
6,002390,信邦制药,63496.8962,-19.69,63496.8963,314.29,,-11503.1111,-56.94,,,,,-31790.666,-157.36,2024FY,2024
7,002390,信邦制药,-19704355.29,19.81,18118.5712,380.09,13179.0709,-4388.5689,-92.06,4388.5689,254.6482,7529.3204,8963.1214,-8963.1214,-188.03,2024HY,2024
8,002390,信邦制药,-186788656.14,-1360.38,254.7326,-1.36,,-6105.3033,32.69,,,,,-12828.3451,68.68,2024Q1,2024
9,002390,信邦制药,,,42984.6276,-1917.3,,-9214.1884,410.99,,,,,-36012.3719,1606.31,2024Q3,2024
10,002390,信邦制药,2426.15,223.13,22742.56,937.54,16029.9228,-4485.61,-184.91,400.0,1000.0,13000.0,28030.0,-15831.18,-652.62,2025HY,2025
11,002390,信邦制药,-20540191.86,2059.91,5502.0065,100.0,,,,,,,,,,2025Q1,2025
12,002390,信邦制药,-11547859.24,48.49,46158.2302,-3997.77,,-5520.4991,478.13,,,,,-41792.3311,3619.64,2025Q3,2025
