serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002390,信邦制药,0.12,635002.5827,-1.88,-1.88,22447.9087,-17.73,-17.73,3.499,3.36,0.3038,22442.2614,-22.62,16.19,3.53,3.36,2022FY,2022
2,002390,信邦制药,0.15,646084.13,0.0,0.0,28723.28,28.02,0.0,3.53,4.19,0.0,26790.25,19.43,15.8,4.45,0.0,2023FY,2023
3,002390,信邦制药,0.0803,325647.61,3.59,102.88,15602.14,18.65,194.69,,2.27,18040.64,15513.32,24.71,19.5,4.79,2.26,2023HY,2023
4,002390,信邦制药,0.03,160512.7137,,-74.72,5294.4771,-27.94,-76.41,,0.77,0.0012,5127.4118,-29.45,18.13,3.3,0.75,2023Q1,2023
5,002390,信邦制药,0.0468,156673.1553,1.56,-51.89,9055.3552,-17.33,-41.96,,1.32,0.3763,9196.6044,15.82,,5.78,1.34,2023Q3,2023
6,002390,信邦制药,0.05,603226.21,-6.63,297.18,10138.16,-64.7,64.29,,1.5,0.3132,16538.16,-38.29,15.22,1.68,2.46,2024FY,2024
7,002390,信邦制药,0.0602,304656.98,-6.45,92.52,11487.93,-26.37,95.29,0.0004,1.67,18118.57,11485.15,-25.97,9.66,3.77,1.69,2024HY,2024
8,002390,信邦制药,0.03,158244.9462,-1.41,-75.51,5882.4844,11.11,-79.52,,0.86,0.0013,5881.1966,14.7,,3.72,0.86,2024Q1,2024
9,002390,信邦制药,0.0325,151878.5929,-3.06,-50.15,6171.0286,-31.85,-46.28,,0.87,0.2264,6038.5804,,,4.06,0.85,2024Q3,2024
10,002390,信邦制药,0.0565,284502.53,-6.62,97.41,10719.68,-6.69,159.91,2.27,3.25,1.17,10662.95,-7.16,16.86,5.01,3.25,2025HY,2025
11,002390,信邦制药,0.02,144120.778,-8.93,-76.11,4124.4211,-29.89,-59.32,,0.61,0.0267,4107.5435,-30.16,,2.86,0.59,2025Q1,2025
12,002390,信邦制药,0.0238,142126.0016,-6.42,-50.04,4512.812,-26.87,-57.9,,0.65,46158.2302,5021.623,-16.84,14.94,4.71,0.72,2025Q3,2025
