serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002603,以岭药业,85718.261741,559.69,348773.641611,407.48,,-199480.0828,-233.06,,,,,-63700.0971,-74.42,2022FY,2022
2,002603,以岭药业,-964029021.67,-212.46,1554574.3379,-16.12,95434463.6782,-8992178.739,93.25,46252413.2881,,170000000.0,19205949.8144,-2205949.8144,22.87,2023FY,2023
3,002603,以岭药业,-15743.432601,-123.03,68053.784822,-430.79,,-116629.214408,738.27,,,,,32777.853825,-207.49,2023HY,2023
4,002603,以岭药业,-87034.84873,,40034.293275,-46.01,,-146428.237884,168.28,,,,,19376.802701,-22.27,2023Q1,2023
5,002603,以岭药业,-819062875.15,,14462.2598,-17.65,,-111128.7072,135.61,,,,,14717.9301,-17.96,2023Q3,2023
6,002603,以岭药业,-940512433.11,2.44,61101.317111,-2027.5,,161203.3766,-5349.16,,,,,-225318.3166,7476.66,2024FY,2024
7,002603,以岭药业,26416.687991,-61.18,26416.688,84.29,26416.688,13811.9492,44.07,14958.1807,,21771.6733,14958.1807,-8887.875,-28.36,2024HY,2024
8,002603,以岭药业,26433.715828,130.37,11700.527196,44.26,,7730.487773,29.25,,,,,7002.162814,26.49,2024Q1,2024
9,002603,以岭药业,1460.531372,-0.0819,32262.983108,-11.7,543588.461479,-115.67432,0.04,1912400.0,2133000.0,770000.0,902969.0,-307889.03003,111.66,2024Q3,2024
10,002603,以岭药业,832040075.96,-42.64,83204.007596,463.12,83204.0076,-64695.7008,-360.1,64695.7008,79300.0,135350.0,8887.875,-542.3118,-3.02,2025HY,2025
11,002603,以岭药业,141504913.47,535219.8,34009.7107,240.48,203527.5226,-19837.9808,-140.27,,,,,-29.376,-0.21,2025Q1,2025
12,002603,以岭药业,190139426.87,1235.56,127823.8969,100.0,,,,,,,,,,2025Q3,2025
