serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002603,以岭药业,1.4137,1253284.102858,23.88,,236180.471455,75.75,,6.54,23.62,2.09,232314.534472,83.68,65.75,18.84,22.89,2022FY,2022
2,002603,以岭药业,0.8095,10318312.85,-17.67,5683.43,135237.92,-42.76,785.86,6.84,12.16,0.93,126473.09,-45.58,57.3,22.85,1.73,2023FY,2023
3,002603,以岭药业,0.9613,679056.155322,21.99,21.99,160602.101698,53.16,53.16,,13.85,0.42,154060.804088,46.67,61.73,23.65,13.85,2023HY,2023
4,002603,以岭药业,0.72,393495.659743,,-68.6,120251.438413,,-49.08,,9.91,0.2397,117753.555039,,,30.56,9.7,2023Q1,2023
5,002603,以岭药业,0.0914,178411.6767,-25.02,-73.73,15266.3395,-58.26,-90.49,7.09,1.29,0.0866,9935.1589,-72.8,,8.56,0.84,2023Q3,2023
6,002603,以岭药业,-0.4337,651273.447177,-36.88,269.84,-72451.558224,-153.57,-3079.13,,-6.69,0.3658,-79249.967379,-162.66,49.99,-11.12,-10.43,2024FY,2024
7,002603,以岭药业,0.3175,460448.581689,-32.19,82.53,53045.710915,-66.97,74.53,,4.53,0.02,50468.126463,-67.24,53.37,2.53,4.32,2024HY,2024
8,002603,以岭药业,0.1819,252263.269184,-35.89,-97.56,30392.791874,-74.73,-77.53,,2.62,0.07,29225.089301,-75.18,51.55,12.0,2.49,2024Q1,2024
9,002603,以岭药业,0.0146,176095.518428,-1.3,-61.76,2431.973426,-84.07,-95.42,,0.21,0.1937,257.186606,-97.41,53.39,1.38,0.02,2024Q3,2024
10,002603,以岭药业,0.4002,404014.221794,-12.26,71.32,66853.502473,26.03,105.1,,6.34,0.4981,64135.564222,27.08,59.52,3.42,5.9,2025HY,2025
11,002603,以岭药业,0.1951,235823.2708,-6.52,-63.79,32595.3296,7.25,144.99,,3.09,0.2036,32505.9321,11.23,,13.82,3.08,2025Q1,2025
12,002603,以岭药业,0.1986,182746.0856,3.78,-54.77,33186.9647,1264.61,-50.36,,3.1,0.7649,32509.8208,12540.56,,18.16,3.04,2025Q3,2025
