serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002728,特一药业,73966.04,9346.99,20822.71,,28087.67,254560.47,23.2,4163.4336,,126736.81,6.64,13068.66,63368.0,50.0,,140313.94,2022FY,2022
2,002728,特一药业,64724.7165,9780.7658,27183.1791,,,251263.67,-1.3,4185.1741,,50195.4764,-60.39,,,39.89,43892.4757,201068.19,2023FY,2023
3,002728,特一药业,35073.4,7364.34,24820.27,,,216004.38,-15.15,5475.4388,,75218.4102,,1875.05,36988.0,34.82,,140785.97,2023HY,2023
4,002728,特一药业,70088.12,6052.7869,23186.8844,,25539.2248,249898.19,-1.83,5789.1768,,98972.162,,3414.4699,57388.0,39.6,54439.5678,150926.028,2023Q1,2023
5,002728,特一药业,,,,,,245067.1469,-3.73,,,,,,,,,171370.016,2023Q3,2023
6,002728,特一药业,45741.431511,9874.634939,26437.772225,,,240087.582419,0.0,3450.282832,10657.560148,63594.261562,0.0,1104.901576,51609.337263,34.82,38554115.03,176493.323857,2024FY,2024
7,002728,特一药业,40724.6,6985.37,31132.04,21000.0,17564.02,240784.33,-4.17,3517.7556,,109000.0,6.63,1384.87,45300.0,23.89,122802.6,182802.6,2024HY,2024
8,002728,特一药业,,,,,,246934.920484,-1.19,,,,,,,22.24,,202040.834883,2024Q1,2024
9,002728,特一药业,38488.1891,7577.4375,29161.0818,21500.0,17374.4602,249127.036,1.66,2434.4915,,74967.6166,,1550.8414,64000.0,30.09,34114.0409,174159.4193,2024Q3,2024
10,002728,特一药业,28625.81,6797.0396,28620.5647,7500.0,18464.5724,227476.61,-5.53,7105.337,,31000.0,-71.56,,,13.63,,177341.0928,2025HY,2025
11,002728,特一药业,,,,,,222191.36,-10.02,,,,,,,,,179847.996795,2025Q1,2025
12,002728,特一药业,,,,,,222060.6176,-7.51,,,41767.0921,-49.62,,,18.81,,180293.5255,2025Q3,2025
