serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002864,盘龙药业,82344.3965,44355.664,9462.8103,,,193078.69,45.15,,,983183297.68,0.0,,,0.0,415766386.88,92965.07,2022FY,2022
2,002864,盘龙药业,110201.2852,41263.1813,7762.6257,,2931.0952,212501.97,10.06,9143.168,,109876.5432,-42.37,552.5544,10000.0,27.0,25285.8247,154904.52,2023FY,2023
3,002864,盘龙药业,81428.2553,49167.7502,9097.2555,0.0,1728.94,193123.0496,0.02,1167.1152,,712717078.29,-12.22,469.16,10500.0,36.9,53270.5566,119844.4108,2023HY,2023
4,002864,盘龙药业,,,,,,191426.4568,-0.86,,,,,,,,,118445.6818,2023Q1,2023
5,002864,盘龙药业,,,,,,209605.351417,8.56,,,,,,,,,152439.998073,2023Q3,2023
6,002864,盘龙药业,107489.9706,14904.6179,2534.5656,22152.7283,31143.9253,222016.020745,4.48,4380.1558,11581.4631,42610.1231,-99.99,3709.4912,10000.0,297.05,47189.4901,157664.385376,2024HY,2024
7,002864,盘龙药业,,,,,,218940.0325,3.03,,,,,,,,60554.3072,158292.5505,2024Q1,2024
8,002864,盘龙药业,,,,,,225713.66849,6.22,,,,,,,,,160923.719655,2024Q3,2024
9,002864,盘龙药业,,,1082.3256,,,236224.6495,3.61,14340.1239,,69600.0341,63.34,431.4801,5000.0,53.69,,166443.6105,2025HY,2025
10,002864,盘龙药业,,,,,,231619.3397,1.59,,,,,,,,,166154.1456,2025Q1,2025
