serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002864,盘龙药业,10116.35,8.58,3024337.67,97429.31,0.0,408009022.38,362741691.34,53372577.79,-3126578.11,18233617.47,10235652.05,849465982.92,1177.6259,119179788.41,-241199.24,-4475516.5,2022FY,2022
2,002864,盘龙药业,10404.7784,9.16,,98082.8104,0.67,7514.9715,,,,,,7514.9715,12252.89,10404.7784,,,2023FY,2023
3,002864,盘龙药业,5129.79,10.53,342.4344,50001.8374,0.0,0.0,17499.7543,2657.93,-702.7275,1061.9581,0.0,0.0,0.0,0.0,0.0,0.0,2023HY,2023
4,002864,盘龙药业,2181.2306,,147.2683,22562.521,,11424.3788,7222.3641,1219.4485,-372.1835,328.048,,19822.0559,2887.7334,,-6.4585,-181.5375,2023Q1,2023
5,002864,盘龙药业,8451.501833,7.87,,71623.265494,,,,,,,,,,,,,2023Q3,2023
6,002864,盘龙药业,5943.5447,15.86,5110.64663,45535.6634,-8.93,,18217.944622,3129.47331,-1243.204953,1425.610542,823.301601,41541.158532,6742.121715,6742.121715,-20.02038,-533.905016,2024HY,2024
7,002864,盘龙药业,3105.7891,42.39,217.3803,,-6.87,7996.0233,8756.1924,1269.3131,-719.8297,371.7714,,17673.4705,3066.2113,,,-208.4277,2024Q1,2024
8,002864,盘龙药业,8928.264859,6.5,,,,,,,,,,,,,,,2024Q3,2024
9,002864,盘龙药业,5997.9474,0.92,826.4779,57402.3,26.06,28079.533,18109.1647,3044.0491,-1185.7705,1585.0092,0.0,49817.796,10081.903,10081.903,0.0,0.0,2025HY,2025
10,002864,盘龙药业,3116.5842,0.35,211.0822,,19.08,11532.3173,8421.1349,1340.7202,-665.5412,464.2275,,21092.8587,3622.5272,3621.9184,,-236.0867,2025Q1,2025
