serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,300158,振东制药,-0.0499,372855.53,-26.8,-26.8,-5129.0,-101.96,-101.96,,-0.8,0.0,-14843.37,-210.88,55.12,-1.38,26.53,2022FY,2022
2,300158,振东制药,-0.0428,2909912228.48,-2.75,-2.75,-4398.41,14.24,-185.3,4.93,-0.84,-2.38,-11606.41,21.81,52.4,-1.21,-2.22,2023FY,2023
3,300158,振东制药,0.0142,193288.88,12.01,,1454.24,-40.99,,,0.28,-0.1053,-1355.76,55.58,52.91,0.75,-0.26,2023HY,2023
4,300158,振东制药,-0.015,85085.6603,-20.74,-55.98,-1541.6615,-15654.59,-206.01,,-0.3,-22326.4688,-2037.5357,-601.05,50.8,-1.81,-0.39,2023Q3,2023
5,300158,振东制药,-1.2977,2971127572.67,-18.06,-18.06,-133293.909545,-2920.55,-2920.55,3.66025626659,-29.43,-1.2977,-68633.9927,-491.35,61.99,-45.07,-29.43,2024FY,2024
6,300158,振东制药,0.0298,150660.22,41.13,92.63,3065.75,110.81,32.71,5.31,0.59,-0.0307,-3076.45,-126.92,79.32,23.73,8.31,2024HY,2024
7,300158,振东制药,0.0225,78213.0269,,-100.0,2310.1558,5952.52,152.52,,0.45,-0.0233,-859.2417,51.35,44.39,2.95,-0.17,2024Q1,2024
8,300158,振东制药,0.0094,76282.2569,-10.35,-49.37,946.5852,161.4,-69.12,,,,36.8936,101.81,,1.24,,2024Q3,2024
9,300158,振东制药,0.0077,145694.2,-3.3,93.09,793.13,-74.13,585.4,,0.21,-0.0004,-817.64,73.42,51.68,0.54,-0.22,2025HY,2025
10,300158,振东制药,0.0012,75453.259177,-3.53,-100.0,115.717686,-94.99,100.09,,0.03,-0.3422,28.961669,103.37,49.09,0.15,0.01,2025Q1,2025
11,300158,振东制药,0.0124,75756.5095,-0.69,-48.0,1243.2767,31.34,56.76,,0.34,-0.6011,868.3954,2253.78,,1.64,0.24,2025Q3,2025
