serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,300181,佐力药业,108207.0763,45283.9627,31882.6461,1082.8081,7805.7356,363911.7963,32.4,21563.0687,,87919.2755,14.86,1414.3216,13815.7361,46.62,52743.8867,270374.9664,2022FY,2022
2,300181,佐力药业,93197.9467,47284.2277,42652.0648,15100.0,6114.1769,362703.897,-4.0,19306.1397,,100000.0,1.53,223.4583,19306.1397,28.08,10019.2374,272874.306,2023FY,2023
3,300181,佐力药业,95166.01,47878.65,39769.84,,,354870.06,-2.48,116862.94,,116862.94,-2.48,,,41.38,,260341.15,2023HY,2023
4,300181,佐力药业,102296.5971,45438.7058,37092.0557,1500.0,10320.5617,359682.1017,-1.16,43474.8404,67.6698,78564.1351,-10.66,259.9661,13814.4167,27.38,68996.4888,275661.8357,2023Q1,2023
5,300181,佐力药业,101007.5414,46128.8211,40031.3534,100.0,14909.4738,354347.079,-2.63,42555.3313,38.1657,,,81.9144,20300.9286,30.16,,266738.0678,2023Q3,2023
6,300181,佐力药业,80466.7919,59171.1847,52374.8972,,16142.8276,399195.59,10.06,37730.8635,,117251.5098,4.13,1444.9199,,29.37,,276888.47,2024FY,2024
7,300181,佐力药业,92591.34,66400.71,50598.15,,,389407.81,7.36,66654.9023,,121486.41,3.96,,,31.2,146458.32,267944.76,2024HY,2024
8,300181,佐力药业,101202.4224,66121.3146,43454.7901,100.0,11297.3515,386464.8627,6.55,53045.538,140.788,95541.8313,21.61,430.2538,17299.8306,32.47,87666.6325,286299.6929,2024Q1,2024
9,300181,佐力药业,78630.9542,75144.9264,47855.6595,,,387243.9028,6.77,,,123118.3876,43.85,,,31.79,,264125.5152,2024Q3,2024
10,300181,佐力药业,73133.0239,82389.1886,48065.6263,,,459939.56,15.22,41779.3479,,149253.3228,22.86,,,32.45,,303820.64,2025HY,2025
11,300181,佐力药业,74103.1296,89113.6237,47499.4601,,,456927.0954,14.46,47927.1916,287.4823,138797.3799,19.76,579.4635,46119.3709,44.57,,318129.7155,2025Q1,2025
12,300181,佐力药业,,,,,,464330.560736,16.32,,,,,,,,,318269.855113,2025Q3,2025
