serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,300181,佐力药业,27300.6653,52.17,8008.5241,180515.5366,,53126.4062,83086.9927,9057.5918,507.9095,6443.1697,2037.0546,154259.1245,33721.8053,32412.4208,-338.1782,-525.3984,2022FY,2022
2,300181,佐力药业,38293.61,1.02,-10.0726,83377.7098,4.29,61334.1641,16.4949,223.0174,,8337.771,27.9126,69939.36,39076.29,39076.29,356.5517,356.5517,2023FY,2023
3,300181,佐力药业,19766.16,46.54,4466356.75,101145.8569,13.02,31037.41,42066.95,4441.23,-737.01,4311.59,3126171.89,90868353.94,69909.45,22871.05,31747954.82,9782471.92,2023HY,2023
4,300181,佐力药业,9945.3357,37.55,1896.659,49569.783,12.81,14929.3105,20871.7624,2278.9483,-322.2043,1820.8989,,39578.7158,11370.7846,11336.7267,0.0,-85.4872,2023Q1,2023
5,300181,佐力药业,29258.3699,36.43,,146494.7133,8.97,,,,,,,,,,,,2023Q3,2023
6,300181,佐力药业,4307.4721,32.6,98189395.23,25778782000.0,30917973.98,,,,,,,,,,,,2024FY,2024
7,300181,佐力药业,29605.41,49.78,5518.8464,142825.4689,41.21,,,,,,,,,,,,2024HY,2024
8,300181,佐力药业,14410.6494,44.9,2935.1106,67289.9097,35.75,22422.7569,25054.1152,2582.3312,-102.0379,1456.4921,,51413.6575,18811.3628,,,-703.3567,2024Q1,2024
9,300181,佐力药业,42738.2283,46.07,,204487.9348,39.59,78510.7059,68412.323,7741.9474,,5080.4515,2121.8915,161867.3193,50394.3533,49478.7012,0.0,-1078.4061,2024Q3,2024
10,300181,佐力药业,37919.3092,28.08,,159945.3446,11.99,,,,,,,,,,,,2025HY,2025
11,300181,佐力药业,18338.6182,27.26,2392.6336,,22.52,32237.6359,25628.1863,2347.8495,133.0573,1342.3922,,61689.1212,,,68.6021,-974.8235,2025Q1,2025
12,300181,佐力药业,51811.166082,21.23,,,,,,,,,,,61774.15885,,,,2025Q3,2025
