serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,300519,新光药业,2836.2,1458.34,12642.94,445.77,351418593.46,-206.74,-7.29,410000000.0,420000000.0,0.0,0.0,-9600.0,-338.48,2022FY,2022
2,300519,新光药业,-7808.398736,-73.45,5329.04,-68.25,27768.4863,-5137.441283,65.79,0.0,0.0,0.0,0.0,-8000.0,102.45,2023FY,2023
3,300519,新光药业,-75958.16124,-58.28,2919.359304,-38.43,,-2515.175428,33.11,,,,,-8000.0,105.32,2023HY,2023
4,300519,新光药业,-40529667.44,0.27,5343.405226,-131.84,266270294.68,-2996.372,73.93,185000000.0,185000000.0,0.0,0.0,-6400.0,157.91,2024FY,2024
5,300519,新光药业,-73392333.18,-96522.05,2712.661,-36.96,14532.1861,-3651.8943,49.76,26000.0,241.0558,100.0,6400.0,-6400.0,87.2,2024HY,2024
6,300519,新光药业,5189.802702,,3887.150324,74.9,10420.256178,1302.652378,25.1,323.50406,10626.156438,,,0.0,0.0,2024Q1,2024
7,300519,新光药业,-11933.366414,,3538.275718,-29.65,,-9071.642132,76.02,,,,,-6400.0,53.63,2024Q3,2024
8,300519,新光药业,-19709.452941,-168.55,3682.714399,-18.69,30632.1596,-18592.16734,94.33,42000.0,23500.0,100.0,100.0,-4800.0,24.35,2025HY,2025
9,300519,新光药业,56866799.42,1095641.07,4182.5265,73.55,,1504.1534,26.45,,,,,0.0,0.0,2025Q1,2025
10,300519,新光药业,-21278.496792,-78.31,5058.805601,-23.77,,-21537.302393,101.22,,,,,-4800.0,22.56,2025Q3,2025
