serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,300519,新光药业,10882.1,-4.78,170.0561,35148.88,8.46,16923.16,3373.89,1725.51,-976.53,1554.93,420.9358,22392.58,12560.3566,12560.3566,-19.8614,-43.2481,2022FY,2022
2,300519,新光药业,6435.65,-39.95,351.9475,27039.98,-23.07,15879.5336,2645.4268,1791.8335,-1889.0741,1513.4246,0.0,0.0,7413.3032,7316.0104,-50.3339,70.8142,2023FY,2023
3,300519,新光药业,3853.9667,,183.5978,14903.8556,-12.57,7911.435132,1278.046614,871.018642,-271.561594,767.324107,,10556.2629,4533.446829,4534.246829,-60.647427,60.490164,2023HY,2023
4,300519,新光药业,5038.9993,-21.7,284.4959,26765.9927,-1.01,17711.6596,2437.1914,1751.216,0.0,1262.4156,450.3032,23612.7858,4996024.46,4996024.46,-39.0462,-10.9696,2024FY,2024
5,300519,新光药业,2550.7669,-33.81,,14621.0038,-1.9,,,,,,,,,,,,2024HY,2024
6,300519,新光药业,2283.034136,-25.01,84.419751,100545.2593,,6281.289825,596.174251,367.694035,-188.898928,394.571079,,7450.8303,2600.819149,2618.996549,-37.743708,12.17628,2024Q1,2024
7,300519,新光药业,3778.235975,-35.63,,,,,1694.044967,1172.488684,-431.271484,961.827984,,3397.0902,4333.303711,,,,2024Q3,2024
8,300519,新光药业,3190.7696,25.09,,14094.2929,-3.6,8936.381165,1076.64938,935.666778,-1065.899374,,437.778718,10320.5767,3607.199019,,,,2025HY,2025
9,300519,新光药业,2454.1781,7.5,,,,,569.5841,461.914,-826.7488,427.7457,,632.495,2792.7456,2815.3662,,,2025Q1,2025
10,300519,新光药业,4533.617834,19.99,,20561.856789,,,1417.974686,1331.615776,-1103.065839,1004.172184,,2650.6968,17911.16,,,,2025Q3,2025
