serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,300869,康泰医学,342894700.0,-57.8,,71211.4539,,37402.3326,,,,,1005.5902,38407.9228,32803.5311,,,,2022FY,2022
2,300869,康泰医学,14974.7,12.5,333274.5741,74690.214,4.89,3168216.0108,11769.05,3911.05,-3085.4169,11060.03,,3191870.7239,7332.7457,,,,2023FY,2023
3,300869,康泰医学,18288.64,58.51,2600.7081,,,,,,,,,,,,-732.4166,-29.1023,2023HY,2023
4,300869,康泰医学,17005.2052,131.97,1499.9764,36869.9883,,13229.8048,3432.9659,1442.1554,-1578.3192,2500.5016,,19027.1085,18820.5059,18793.5165,-321.9088,8.2589,2023Q1,2023
5,300869,康泰医学,19511.7554,12.0,,61722.7119,33.55,,7909.5263,3239.5397,,7980.644,,19129.71,22033.9814,22016.5922,,,2023Q3,2023
6,300869,康泰医学,33.72,-98.77,3984036.36,21178.98,-57.17,10696.29,3642.97,1782.67,-883.23,56055044.05,,56070282.75,-52065067.41,,-6129554.46,-1418946.35,2024HY,2024
7,300869,康泰医学,435.1935,-97.44,143.8714,9917.5164,-73.1,5019.2308,1617.3588,1079.6697,-492.6415,2714.0048,279.9974,10217.62,280.7644,311.922,-319.0082,-67.0641,2024Q1,2024
8,300869,康泰医学,,,675.5701,33388.5288,-45.91,16726.6311,5643.891,2668.4622,-368.1104,8342.9419,,33013.8158,1047.2485,1115.8451,-876.278,-118.6588,2024Q3,2024
9,300869,康泰医学,1643.576778,277.67,281.731037,11184.441172,12.77,4680.9494,1586.295435,807.487375,-327.550797,2257.212674,,9004.3941,2461.7781,,-687.020528,-4.77171,2025Q1,2025
10,300869,康泰医学,939.9842,-5.08,,34399.2693,3.03,,,,,,,,,,,,2025Q3,2025
