serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,300878,维康药业,16274.0658,27518.5566,11611.0625,,32309.1621,191377.3127,13.02,8473.1408,,50225.433,,,25724.7306,26.24,51177.2353,139831.8224,2022FY,2022
2,300878,维康药业,33016.2452,21213.0989,15378.469,24556.4629,,204663.6531,6.9,5260.1341,,63922.7731,27.27,,,29.43,51092.8619,138980.7853,2023FY,2023
3,300878,维康药业,44014.813377,32673.998573,13709.858228,,,202649.79301,5.89,,,55003.465079,,,,27.14,,146293.887793,2023HY,2023
4,300878,维康药业,,,,,,201840.7162,5.47,,,,,,,,,142584.4266,2023Q1,2023
5,300878,维康药业,25396.147,15984.7277,,24556.4629,,165232.304,-19.86,,,37442.6438,-41.43,,,22.66,,115766.656,2024FY,2024
6,300878,维康药业,32058.197673,26238.170818,13521.767019,7000.0,34648.864541,183843.002308,-10.17,5481.1044,1452.6764,33916.789656,0.0,1452.6764,6015.986806,23.46,0.0,131849.157063,2024HY,2024
7,300878,维康药业,,,,,,173799.5084,-15.08,,,35535.429,-99.94,,,20.45,,136397.836,2024Q1,2024
8,300878,维康药业,32427.279158,25002.088798,10906.196938,,,183504.450864,-10.34,4006.331302,806.29813,47100.921972,-29.78,1315.728359,6000.986806,36.56,,136403.528892,2024Q3,2024
9,300878,维康药业,27299.813815,11396.290585,10807.279168,,,154597.676074,-6.44,7074.1767,,18212.095219,0.49,,,12.42,,107355.987716,2025HY,2025
10,300878,维康药业,26015.9621,14459.5256,13715.9931,500.0,6184.0751,163864.978,-0.83,8700.9956,13.8324,47501.1097,33.67,967.3708,0.0,28.99,30705.7316,114781.1901,2025Q1,2025
11,300878,维康药业,,,,,,148800.3292,-9.94,,,,,,,,,101392.4966,2025Q3,2025
