serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,300878,维康药业,-118510868.6,,14656.815,-123.67,,-44381.9852,374.5,,,,,17874.0833,-150.82,2022FY,2022
2,300878,维康药业,58289136.41,-59.85,5828.9136,-24.39,14517.6771,-44242.8472,185.15,13928.5428,31091.4173,1352.4148,1352.4148,14517.6771,-60.75,2023FY,2023
3,300878,维康药业,277688.45809,444.44,47925.86659,17.26,,160345.7463,57.74,,,,,69416.8452,25.0,2023HY,2023
4,300878,维康药业,50182858.78,,1348.6613,26.87,,-5015.8988,-99.95,,,,,8685.5234,173.08,2023Q1,2023
5,300878,维康药业,-27173007.35,-146.62,-2717.3007,37.24,14602.0737,18829.0083,-258.03,,12100.0,18126.212,,-23409.007,320.79,2024FY,2024
6,300878,维康药业,-747.851726,-102.69,-1988.728763,265.93,,19287.289318,-2579.03,,,,,-18046.412281,2413.1,2024HY,2024
7,300878,维康药业,-104008813.76,-307.26,-1643.9477,15.81,,15356.103171,-147.64,,,,,-24113.036888,231.84,2024Q1,2024
8,300878,维康药业,-311.003568,-230.56,-3522.862708,1132.74,,21359.927364,-6868.07,,,,,-18148.068224,5835.32,2024Q3,2024
9,300878,维康药业,19047679.1,354.7,4440.50657,108.92,,-212.3146,-5.21,,,,,-151.2718,-3.71,2025HY,2025
10,300878,维康药业,6198150.29,105.96,-648.8556,-104.69,,1399.1357,225.73,,,,,-130.4651,-21.05,2025Q1,2025
11,300878,维康药业,9350950.63,222.01,4298.1468,459.65,,595.9213,63.73,,,,,-3958.973,-423.38,2025Q3,2025
