serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,300878,维康药业,4444.426,-53.94,19805355.25,53129.1689,,,19164.2999,3735.5322,332.5483,3932.0428,,27164.4232,19831319.9957,,-221444.13,-7242071.56,2022FY,2022
2,300878,维康药业,-803.8558,12.5,1386.7915,51962.11,-2.41,31143.2964,2081.864,409.4158,75.6206,427.9819,,31143.2964,5945.2371,49923.797,-73.6975,0.0,2023FY,2023
3,300878,维康药业,3854.198437,,219.376633,20459.347391,,8225.859359,8367.986792,1876.683054,356.843108,1648.413127,49.121384,263848.02857,73893.08681,,,473.358233,2023HY,2023
4,300878,维康药业,2801.7799,,122.7902,19573.8789,,10619.5059,4001.7816,860.5392,126.9265,884.1656,,16492.9188,3303.9459,3263.1991,,-475.5556,2023Q1,2023
5,300878,维康药业,-14742.6253,-1546.42,1258.4294,35119.8568,-32.41,25709.4059,,4123.6086,,,279.5553,30112.5698,-190.4255,-667.6657,,,2024FY,2024
6,300878,维康药业,1598.0327,-58.54,106.4749,29698.8424,45.16,14388.807303,10565.223967,2178.366326,165.493733,658.032995,105.652239,13467.226996,1532.617239,1532.617239,,,2024HY,2024
7,300878,维康药业,2438.9324,-12.95,217.4773,,2.15,10212.7742,5233.6889,1077.384,95.6967,297.1221,,16916.6659,,,,,2024Q1,2024
8,300878,维康药业,4620.507106,-36.41,,37084.945315,-14.16,19510.592834,16323.877957,3316.954396,196.936521,1218.068093,,40566.4298,4806.144668,43828.20974,,-658.842143,2024Q3,2024
9,300878,维康药业,-6431.1059,-502.44,,11456.9885,-61.42,,5328.635394,2019.344314,298.284509,599.584517,,8245.8487,3211.1398,,,,2025HY,2025
10,300878,维康药业,-970.6327,-139.8,198.8656,6977.5938,,3391.0536,3041.8192,961.2289,131.4539,267.1042,,7792.6598,-616.2004,,154.1959,486.7448,2025Q1,2025
11,300878,维康药业,-12385.458,-380.87,694.7927,15131.7754,-59.2,12810.1244,7462.9801,3072.3858,462.773,766.4571,,24574.7204,-8748.1523,,-2084.5234,882.8034,2025Q3,2025
