serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600080,金花股份,5257.9,71.86,5257.899355,19.16,0.0,22986.83,83.78,0.0,0.0,50000000.0,0.0,-807.67,-2.94,2022FY,2022
2,600080,金花股份,6054.84,15.16,6054.84,82.71,,1377.61,18.82,,,,,-112.15,-1.53,2023FY,2023
3,600080,金花股份,-3439.132,0.0,-3439.1321,-90.65,25536.9544,7788.405,205.29,81609.3655,106656.4416,0.0,0.0,-555.449,-14.64,2023HY,2023
4,600080,金花股份,9934.29562,,-3876.009798,-39.02,,3936.608957,39.63,,,,,9873.696461,99.39,2023Q1,2023
5,600080,金花企业（集团）股份有限公司,,-28.52,-1194.9315,100.0,,,,,,,,,,2023Q3,2023
6,600080,金花股份,1085.87,-82.07,4901.9056,-20.12,337920592.39,-19230.3594,78.93,996525617.08,25258383.27,996525617.08,944773332.17,-10036.7321,41.19,2024FY,2024
7,600080,金花股份,-2309.94,32.83,-2309.9372,7.28,,-17797.79,56.11,,,,,-11608.91,36.6,2024HY,2024
8,600080,金花股份,-25674.181357,-358.44,-4921.284823,19.17,,-10078.275169,39.25,,,,,-10674.621365,41.58,2024Q1,2024
9,600080,金花股份,-363115098.7,,,,,,,,,,,,,2024Q3,2024
10,600080,金花股份,-199182949.01,-100.0,-8093.3429,40.63,,-9293.5173,46.66,,,,,-2531.9041,12.71,2025HY,2025
11,600080,金花股份,-219469944.51,-854727.43,-12136.8521,55.3,,-13257.4699,60.41,,,,,3447.3275,-15.71,2025Q1,2025
12,600080,金花股份,-102453210.95,71.78,-5772.1289,56.34,,-5310.3754,51.83,,,,,837.1832,-8.17,2025Q3,2025
