serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600085,同仁堂,1.04,1537242.3363,,,142581.1705,16.17,,,12.08,2.257,139857.5431,15.67,,9.28,11.85,2022FY,2022
2,600085,同仁堂,1.217,1786089150000.0,116187771.48,,166883.451,16.92,20.0,,13.42,13633.2966,165660290000.0,18.32,14455.6818,9.33,1268.65,2023FY,2023
3,600085,同仁堂,0.719,976069.6245,,89.78,98652.6289,32.69,88.5,1241263.6217,8.0,1.725,97903.0353,33.22,46.1,10.11,8.0,2023HY,2023
4,600085,同仁堂,0.382,514306.9727,,-66.54,52335.5606,30.85,-63.29,,4.34,0.8361,51948.8175,31.13,30.08,10.18,2.82,2023Q1,2023
5,600085,同仁堂,1.014,,,,139069.2289,38.67,40.97,,11.23,1.7458,137784.6496,39.22,46.76,16.23,11.23,2023Q3,2023
6,600085,同仁堂,,18597281604.93,-98.96,1345607.13,152627.49,-8.54,13.05,,0.0,,1481763600.0,-10.55,43.77,8.23,11.23,2024FY,2024
7,600085,同仁堂,0.744,976298.2449,0.02,85.35,102096.6055,3.49,77.29,,7.66,,99224.3704,,,10.45,7.44,2024HY,2024
8,600085,同仁堂,0.42,526728.9155,2.42,-100.0,57587.7578,10.04,-65.49,,4.24,-0.1836,57133.9105,9.98,42.93,10.04,4.21,2024Q1,2024
9,600085,同仁堂,,1381970.9536,,41.55,135005.9387,-2.92,32.23,,6.58,,132043.5305,-4.17,,9.79,6.44,2024Q3,2024
10,600085,同仁堂,0.0,976889.8093,0.06,85.17,94549.8881,-7.39,62.4,1343149.0503,0.0,0.0,94232.121,-5.03,,9.68,4.45,2025HY,2025
11,600085,北京同仁堂,0.425,527567.6319,0.16,-100.0,58220.717,1.1,-61.85,,4.317,0.6078,58084.6136,1.66,,11.04,4.22,2025Q1,2025
12,600085,同仁堂,0.859,1330791.48,-3.7,36.23,159295.4359,-12.78,68.48,0.0011,8.72,7.5826,117755.5845,-11.95,,11.97,,2025Q3,2025
