serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600129,太极集团,10235997.27,127.6,180076.8933,92.98,0.0,-14936.3736,-7.71,0.0,0.0,0.0,0.0,28529.7993,14.73,2022FY,2022
2,600129,太极集团,-319711994.69,0.0,67153.6615,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023FY,2023
3,600129,太极集团,-428546424.5,,-42854.6424,56.81,,-33.495,0.04,,,,,-32540.8772,43.14,2023HY,2023
4,600129,太极集团,,,-16757.0901,100.0,,,,,,,,,,2023Q1,2023
5,600129,太极集团,-1207659828.86,,1156001.1322,79.04,1097430.3727,15595.4086,1.07,,,,,290896.6483,19.89,2023Q3,2023
6,600129,太极集团,0.0,0.0,38931.2064,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024FY,2024
7,600129,太极集团,-453224814.55,0.0,351034.3782,104.61,318527.1509,169.2157,0.05,-36104.0392,-36104.0392,-15640.5205,-15640.5205,-15640.5205,-4.66,2024Q1,2024
8,600129,太极集团,-1087221524.86,9.97,-69034.3648,63.46,895411.7159,-60558.2592,55.67,,,,,20815.6581,-19.14,2024Q3,2024
9,600129,太极集团,-62157951.06,-126.67,11481.8724,-184.45,36247.5039,-27925.8286,448.62,,,,,10219.1525,-164.17,2025HY,2025
10,600129,太极集团,-120798254.05,73.35,-16461.4855,100.0,,,,,,,,,,2025Q1,2025
11,600129,太极集团,166372623.71,100.0,16637.2624,103.83,808773.6989,-612.958,-3.83,0.0,0.0,466812.756,0.0,0.0,0.0,2025Q3,2025
