serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600222,太龙药业,31138.3783,70929.4056,45048.8977,7495.62,3109.5327,360018.413,-0.0169,43889.2517,8825.9848,198609.9689,,0.0,40486.7455,84.66,18660.9952,157047.9282,2022FY,2022
2,600222,太龙药业,19666.6016,73963.7242,45549.9605,15329.9602,2889.8827,357685.4925,10.51,43028.6101,1162.3981,40084.54,10.51,12155.8142,3765.6219,34.99,23010.5076,157849.3579,2023FY,2023
3,600222,太龙药业,19615.0648,72735.1214,45547.551,6432.6433,3216.2813,339536.7102,0.0,44102.5916,1945.9994,193739.8119,0.0,19466.146,19466.146,134.66,-4199.7168,145796.8982,2023HY,2023
4,600222,太龙药业,24846.2112,,,,,357251.2647,,,,197592.2301,,,,55.31,,159659.0346,2023Q1,2023
5,600222,太龙药业,18154.602,70430.3246,45215.6387,6257.898,3601.146,333932.3065,,40282.0804,2391.6043,184735.1755,-7.01,2391.6043,40681.874,55.33,16968.36,149197.131,2023Q3,2023
6,600222,太龙药业,18003.98,92120.31,36767.38,80015054.93,,348976.8,-2.43,22889.28,,186352.59,18.63,654.07,66342.15,52.87,25845.38,157472.89,2024FY,2024
7,600222,太龙药业,32539.2671,81416.9794,49601.1503,2419.63,0.0,360851.9292,0.89,31931.8501,0.0,200855.4877,3.67,0.0,53666.131,55.71,24673.9019,159996.4415,2024HY,2024
8,600222,太龙药业,,,,,,365292.1928,2.25,,,,,,,,,158611.3393,2024Q1,2024
9,600222,太龙药业,,,,,,3724552454.99,4.13,,,,,,,,,1619937050.48,2024Q3,2024
10,600222,太龙药业,24363.0331,93546.509,47607.8191,2200069.85,,357903.263,2.56,14557.5715,,192390.8599,-4.21,374.2155,,57.48,258453807.94,160035.5674,2025HY,2025
11,600222,太龙药业,40394.4947,88375.9138,36481.9937,,,356553.0775,-2.39,17577.9469,,193450.5598,,,,54.26,27510.5607,157841.1324,2025Q1,2025
12,600222,太龙药业,34386.0135,99214.5208,47869.8125,,,373830.1973,7.12,21300.2732,,208881.1617,14.85,594.0745,63858.5446,55.88,,159282.7901,2025Q3,2025
