serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600222,太龙药业,-7571.5931,-1.11,1299.6527,262295.7,0.222,148861.3652,18302.5123,13448.2428,6355.1796,11651.9695,842.4935,199461.7629,-7077.9317,-8284.9053,-1731.3897,-2138.1822,2022FY,2022
2,600222,太龙药业,23940.3,10.51,1882.3221,206495.3962,-21.27,133540.5737,19785.56,1269.65,0.0,6410.0,0.0,133540.5737,45450.0,45450.0,0.0,0.0,2023FY,2023
3,600222,太龙药业,-4283.9914,-100.0,348.2074,99390.974,,75024.1723,9979.1558,7575.6746,2594.776,7975.0331,456.9297,103605.7415,-4825.965,-4838.9851,-441.494,-245.0122,2023HY,2023
4,600222,太龙药业,328.838,,,56031.7916,,,,,,,,,,,,,2023Q1,2023
5,600222,太龙药业,,,,,,107793.0516,14423.0731,10403.7112,3951.3443,10202.1293,631.0362,147404.3456,-2074.0291,-2099.006,,,2023Q3,2023
6,600222,太龙药业,5052.53,16.0,902.2959,1941420.11,-19.12,,17093.11,5681.57,1514.56,9111.94,448.92,17093.11,25845.38,25845.38,7956.31,5697.99,2024FY,2024
7,600222,太龙药业,2661.7997,-6.71,180.1093,92724.8515,-6.71,66619.2208,8631.4745,6784.6193,2835.6038,6015.2218,551.7256,66619.2208,26105.6307,2661.7997,-138.4387,588.5145,2024HY,2024
8,600222,太龙药业,29947526.3,,,,,,,,,,,,,,,,2024Q3,2024
9,600222,太龙药业,1934.66,-27.32,,76243.155,-17.77,,5799.1235,5905.2299,2682.1951,2590.5143,524.6856,17501.7484,58741.4066,2435.8726,,,2025HY,2025
10,600222,太龙药业,263.1143,,,32327.4192,,23660.0285,3072.0538,2596.9539,1460.5412,1317.2018,,32106.7792,263.5628,264.5746,,,2025Q1,2025
11,600222,太龙药业,3047.4636,2.15,,118690.2173,,89860.2992,8835.0751,9057.2687,4416.2446,3810.1656,,116697.3868,1992.8305,994.1769,,,2025Q3,2025
