serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600252,中恒集团,236545.5608,-87.16,8720.394867,91575.0082,-13.45,712.1082,112573.666342,32420.079842,,13485.557226,,159191.4116,12389674.15,63806853.06,-11730.713838,-4491.659487,2022FY,2022
2,600252,中恒集团,-1001.78,19.87,7765.6421,309654.2053,14.1,119357.8485,133279.3363,38097.8575,-8248.1333,15372.5588,14642.519,309654.2053,15951.23,8346.7595,-9258.3823,-1457.0104,2023FY,2023
3,600252,中恒集团,8825.7545,-18.6,2586.8833,147936.8952,24.35,,69847.959,18650.8129,,6086.3167,,94585.0886,71654464.67,29051086.28,-272.9351,-1130.5601,2023HY,2023
4,600252,中恒集团,-2900.669377,,,,,,,,,,,,,,,,2023Q1,2023
5,600252,中恒集团,5748.1115,,,216574.7164,,,103267.0839,27287.8831,,8998.6839,,139553.6509,10588.4632,,,,2023Q3,2023
6,600252,中恒集团,-551020377.35,-55004030.38,78315656.27,227082.3189,-26.67,10135.6922,666157282.7,349282685.92,-4107.7798,117501421.04,42724880.1,1175672297.6724,-1097129559.0835,,-240191822.83,-51890425.62,2024FY,2024
7,600252,中恒集团,2190.870657,-75.18,4288.2774,141096.3067,-4.62,,38068.7505,16143.4313,-2393.0495,5078.2861,,56897.4184,88487.1657,,-46.9701,-435.5095,2024HY,2024
8,600252,中恒集团,5207.9838,279.54,,,20.34,,,,,,,,,,,,2024Q1,2024
9,600252,中恒集团,-918.5479,-90.69,,,,,,,,,,,,,,,2024Q3,2024
10,600252,中恒集团,2707.7624,23.59,8293537.0,145104.9759,-30.86,101146.8099,23079.2669,14782.2612,-946263746.0,4747.0306,2007.7876,-946117982.8438,954556624.8197,2773.4641,218.4677,847.0135,2025HY,2025
11,600252,中恒集团,-931.86,-100.0,,194813.1,1.1,132623.1,35162.9,22876.43,-3484.16,7881.84,,195060.11,-247.01,1105.97,-398.76,-1308.29,2025Q3,2025
