serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600285,羚锐制药,116148.9276,18638.3184,42227.487,15042.1283,,434438.2669,0.0,6349.9214,,1785916842.0,,,,39.0,,2558465827.0,2022FY,2022
2,600285,羚锐制药,149889.523,147275.2543,147275.2543,147275.2543,147275.2543,477191.7373,9.84,147275.2543,147275.2543,197322.0435,12.99,,,49.55,170906.5507,279104.0845,2023FY,2023
3,600285,羚锐制药,130625.7106,13506.1335,7891.3751,29018.4333,17000.0,434587.11,0.03,13506.1335,,167875.29,-0.33,5170.4856,13506.1335,38.86,146205.1149,254256.71,2023HY,2023
4,600285,河南羚锐制药,,,,,,449146.2147,,,,,,,,,,270648.0834,2023Q1,2023
5,600285,河南羚锐制药,,,,,,463207.8172,6.62,,,,,,,,,271873.7907,2023Q3,2023
6,600285,羚锐制药,122837.7806,32543.7969,1720.7181,6758.8845,28300.8633,501684.3208,5.13,152623.4708,152623.4708,193655.1144,0.0,152623.4708,3327.4771,0.0,308029214.21,307252.6287,2024FY,2024
7,600285,羚锐制药,72689.68,31092.7962,43915.8864,5072.83,128563.98,471397.15,-1.21,9117.2352,,1859.75,-86.83,,,3.94,166048.9962,270321.13,2024HY,2024
8,600285,羚锐制药,146628.4824,28409.9047,45938.3198,,,498155.4317,4.39,8304.2009,8.1795,203986.4606,5.12,10728.3489,2809.9151,68.45,180062.1049,294168.9711,2024Q1,2024
9,600285,羚锐制药,,,,,,488556.2578,2.38,,,,,,,,,290158.8103,2024Q3,2024
10,600285,羚锐制药,53231.8999,49309.5298,41185.3666,6053.9138,,557222.747,11.07,11795.1608,,247191.9177,344.56,,,0.2,186746.7613,306639.3164,2025HY,2025
11,600285,羚锐制药,,,,,,541089.5781,7.85,,,,,,,,,334386.8485,2025Q1,2025
12,600285,羚锐制药,,,,,,575568.7725,14.73,,,,,,,,,328328.5317,2025Q3,2025
