serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600329,达仁堂,1671244843.84,-20.55,67724.5078,158.11,151738.607,-1227.9784,-2.87,5162.3091,4761.1302,2799.0,59075.8196,-23661.961,-55.24,2022FY,2022
2,600329,达仁堂,-1712526123.01,1.66,68848.788,-96.4,,-56891.1342,79.66,,,,,-83376.9163,116.74,2023FY,2023
3,600329,达仁堂,122433735.29,37.48,12243.3735,-17.26,119914474.18,-48718.26,68.7,0.0,0.0,0.0,0.0,-34443.48,48.57,2023HY,2023
4,600329,达仁堂,582340388.85,,18696.6594,32.11,,7188.0276,12.34,,,,,32349.5214,55.55,2023Q1,2023
5,600329,津药达仁堂集团,-78277.020033,,8118.492706,100.0,,,,,,,,,,2023Q3,2023
6,600329,达仁堂,924672004.13,34.3,92467.2004,0.41,7306736058.69,342305198.12,1520.72,-568911341.74,911216539.86,833769162.76,1153657449.03,-319888287.29,-1421.13,2024FY,2024
7,600329,达仁堂,555214560.54,353.48,55521.46,4.24,,-1397209.3845,-106.6,,,,,2652400.0,202.36,2024HY,2024
8,600329,津药达仁堂集团,32152.65375,-99.99,-8929.940245,-27.77,,11644.268119,36.21,,,,,29443.919067,91.56,2024Q1,2024
9,600329,达仁堂,-63964.188727,18.28,1239.44448,-1.04,,-117561.883651,98.4,,,,,-3151.970229,2.64,2024Q3,2024
10,600329,达仁堂,487741377.69,138.86,48774.1378,71.45,,19587.4078,28.69,,,,,-99.1457,-0.15,2025HY,2025
11,600329,达仁堂,-1489864356.81,-4633821.27,35552.5721,-23.86,,-184516.5334,123.85,,,,,-22.3187,0.01,2025Q1,2025
12,600329,达仁堂,-1895747.82797,-2863.76,59032.994727,-2.43,3530092.60087,-1506491.60039,62.07,5010758.56534,3483466.66667,5.0,2.0,-979528.24955,40.36,2025Q3,2025
