serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600332,白云山,699907.6,23.36,699907.6,-2759.32,7078815.5,-725318.8,2859.5,691797.4699,68467.4286,969599.8054,815060.327,45.95,-0.18,2022FY,2022
2,600332,白云山,4103625.0,-41.37,4103625.0,-414.83,202538.2664,-3114859.0,314.88,349959.1242,162831.1714,34755.0,57356.0,-1978001.0,199.95,2023FY,2023
3,600332,白云山,-1020900.0,-143.26,-74071.0,72.55,3997033.1,-95517.8,93.56,-1082860.3,1270000.0,1214268.8,1094509.0,67498.8,-66.12,2023HY,2023
4,600332,广州白云山,-19037037.0,,-2838882.0,148.98,,-638055.0,33.48,,,,,1571436.0,-82.47,2023Q1,2023
5,600332,广州白云山,-2217571636.32,,901626.0,-40.53,,-2209174.0,99.32,,,,,-916775.0,41.22,2023Q3,2023
6,600332,白云山,3442427.0,-16.11,3442427.0,-97.58,74992820.0,-5963946.0,169.06,596394.6,596394.6,100622.1,100622.1,-1006221.0,28.52,2024FY,2024
7,600332,白云山,-2036740.0,-174.97,-203674.0495,38.02,71694.0777,-391467.8747,73.08,352776.1464,,35.6539,15675.097,59508.1665,-11.11,2024HY,2024
8,600332,广州白云山,-147909.58,99.22,-313818.66,211.82,,-28299.68,19.1,,,,,193965.55,-130.92,2024Q1,2024
9,600332,白云山,-751362230.2,66.12,-751362230.2,100.0,,,,,,,,,,2024Q3,2024
10,600332,白云山,-3397136.268,-66.79,-339713.6268,54.78,,-472277.4624,76.15,,,,,191831.0699,-30.93,2025HY,2025
11,600332,白云山,-3603804072.03,-2436391.32,-389725.8025,107.95,,-73865.2268,20.46,,,,,102577.7961,-28.41,2025Q1,2025
12,600332,白云山,-4382657714.04,-483.29,-197197.3586,44.95,,-342111.4035,77.99,,,,,100636.4009,-22.94,2025Q3,2025
