serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600351,亚宝药业,66850.3422,43368.0114,44913.5943,,,413106.7057,1.33,18944.5408,,112442.5007,34.46,8.8142,,34.46,266850.3422,297007.7495,2022FY,2022
2,600351,亚宝药业,6556.5082,34681.2469,44213.0343,,5741.0124,3853636709.0,-6.72,16280.6772,99.6176,877448198.62,-24.46,6632.5362,20022.0,22.77,1243593770.47,2976188510.38,2023FY,2023
3,600351,亚宝药业,66005.143241,46949.5714,39267.249572,,,402211.0083,-2.64,15918.2914,,99310.17246,-19.52,,,32.36,,302900.8259,2023HY,2023
4,600351,亚宝药业,,,,,,421237.470712,1.97,,,,,,,,,307725.812598,2023Q1,2023
5,600351,亚宝药业,,,,,,397176.9016,,,,89106.2538,,,,22.43,,304523.1426,2023Q3,2023
6,600351,亚宝药业,57859.4454,28234.4345,41304.8735,0.0,0.0,354394.2574,-8.04,18254.4307,0.0,64902.3045,0.0,0.0,0.0,24.56,0.0,289263.8655,2024FY,2024
7,600351,亚宝药业,45246.121,1869.6634,25351.6953,,4736.0499,375394.102232,-2.59,10487.3439,,865120.4753,0.0,,,28.36,138893.5658,2888820.54702,2024HY,2024
8,600351,亚宝药业,,,,,,379711.07484,-9.86,,,,,,,,,293140.078832,2024Q1,2024
9,600351,亚宝药业,55141.3741,44052.8073,35489.6458,,,369323.5029,-7.01,19644.6921,,70841.0928,-20.5,,,19.18,128890.7813,295223.5545,2024Q3,2024
10,600351,亚宝药业,64095.878084,405.0832,35309.66913,,,345358.5569,-2.55,10641.3824,,65099.94913,10.0,,,38.37,156877.6291,279951.4026,2025HY,2025
11,600351,亚宝药业,63559.097,31450.318,36665.4961,,,356913.5122,0.71,17217.8918,,62566.8979,-3.69,,,20.62,135918.4493,294346.6142,2025Q1,2025
12,600351,亚宝药业,,,,,,334272.1352,-5.68,,,,,,,,,279576.0983,2025Q3,2025
