serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600351,亚宝药业,460462582.82,5.25,46046.2583,248.77,271813.4786,-9673.0533,-52.26,9673.0533,9673.0533,17863.6305,17863.6305,-17863.6305,-96.51,2022FY,2022
2,600351,亚宝药业,497553579.83,8.06,49755.358,-0.01,49755.358,-127371540.23,22.19,127371540.23,,0.0,446752508.47,-446752508.47,77.82,2023FY,2023
3,600351,亚宝药业,25473.61094,32.53,25473.6109,13811.06,,-3365.5159,-1824.69,,,,,-21923.6514,-11886.37,2023HY,2023
4,600351,亚宝药业,6915.442297,173.86,9442.518027,129.26,34325.5739,-1552.1709,-21.25,,,,,-585.5506,-8.02,2023Q1,2023
5,600351,亚宝药业,-137005428.44,,7979.9035,-24.1,93935.8853,-6902.6316,20.84,,,,,-34195.4728,103.25,2023Q3,2023
6,600351,亚宝药业,471694572.82,-5.2,47169.4573,3692.08,,-3365.2203,-263.4,,,,,-42526.6516,-3328.67,2024FY,2024
7,600351,亚宝药业,30787094.15,34.31,34214.055027,1113.11,,-2473.1951,-80.46,,,,,-28667.1195,-932.65,2024HY,2024
8,600351,亚宝药业,9431.197088,36.38,27935.777345,272.72,42603.7302,-134.6419,-1.31,,,,,-17557.9279,-171.41,2024Q1,2024
9,600351,亚宝药业,-14409169.81,89.48,4027.9799,-11.3,87432.0224,-3879.5807,10.88,,,,,-35808.0858,100.42,2024Q3,2024
10,600351,亚宝药业,137570.61,-4.34,32729.8894,130.05,,-1496.4925,-5.95,,,,,-6067.0612,-24.11,2025HY,2025
11,600351,亚宝药业,56996515.7,-63.33,14439.8528,253.53,,-2685.6775,-47.15,,,,,-6058.6458,-106.38,2025Q1,2025
12,600351,亚宝药业,67149881.55,566.02,45666.2073,680.59,,-4457.601,-66.43,,,,,-34498.8535,-514.16,2025Q3,2025
