serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600351,亚宝药业,0.1359,271813.4786,-1.66,,10465.5073,-44.06,,3.87,3.56,0.16,8740.1669,-37.71,66.27,2.77,3.56,2022FY,2022
2,600351,亚宝药业,0.2615,290976525.674,10.62,436403.25,199585789.8,90.71,4358761.19,3.86,6.66,0.45,199585789.8,90.71,67.76,6.86,6.01,2023FY,2023
3,600351,亚宝药业,0.2182,153283.635403,18.52,91.49,16802.746572,67.35,56.42,14.63,5.51,0.3308,15909.9792,71.37,56.34,10.96,5.22,2023HY,2023
4,600351,亚宝药业,0.1395,80049.916906,15.3,-70.55,10741.983615,50.47,2.64,,3.55,0.1226,10142.968243,45.17,,13.42,3.3,2023Q1,2023
5,600351,亚宝药业,0.061,66660.7929,,-56.51,4578.8517,,-72.75,,1.5,0.1063,3703.8118,,,6.87,1.22,2023Q3,2023
6,600351,亚宝药业,0.3356,268603.7569,8.41,7.47,24268.8462,21.6,7.47,0.0,8.41,0.6738,21545.7408,19.6,66.17,8.99,7.47,2024FY,2024
7,600351,亚宝药业,0.2472,144368.643798,-5.81,87.2,17977.438513,6.99,60.13,287628.576993,6.16,0.47,16242.402515,2.09,49.75,12.14,5.56,2024HY,2024
8,600351,亚宝药业,0.1528,77121.341314,-3.66,-99.97,11226.432374,4.51,-99.99,,3.81,0.3802,10385.0744,,,14.56,3.54,2024Q1,2024
9,600351,亚宝药业,0.0769,67782.3381,1.68,-53.05,5515.875,20.46,-69.32,,1.87,0.0562,5461.7047,,,8.14,1.85,2024Q3,2024
10,600351,亚宝药业,0.2483,113940.846481,-21.08,85.41,17439.724067,-2.99,62.58,,6.01,32729.88942,15968.1558,-1.69,,15.31,5.5,2025HY,2025
11,600351,亚宝药业,0.1522,61453.3394,-20.32,-20.32,10726.9234,-4.45,-4.45,,3.67,0.2049,10087.7438,-2.86,36.83,17.43,3.43,2025Q1,2025
12,600351,亚宝药业,0.0583,56930.3758,-16.01,-50.04,4069.7053,-26.22,-76.66,,1.51,12936.3179,3777.1452,-30.84,52.13,7.15,1.35,2025Q3,2025
