serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600351,亚宝药业,10465.5073,,2506.0522,609597154.29,7.36,119937.5632,89746.5754,26724.8325,1082.854,13061.6352,1861.6624,31678.2822,10465.5073,98907.1713,2225.1966,2856.1574,2022FY,2022
2,600351,亚宝药业,199585789.8,90.71,3321169.129,290976525.674,7.05,1226341851.74,971690618.15,265909082.3,3223136.54,118289869.23,0.0,1226341851.74,290976525.674,290976525.674,-9374925.415,207144.577,2023FY,2023
3,600351,亚宝药业,16802.7466,67.35,1184.5473,153283.6354,18.46,35976.7073,48579.292658,13066.867299,354.944012,5179.729607,,103157.5409,16802.7466,,-136.4193,-435.1769,2023HY,2023
4,600351,亚宝药业,10852.954666,50.47,,,,,,,,,,,,,,,2023Q1,2023
5,600351,亚宝药业,,,,219944.4284,,,,,,,,,,,,,2023Q3,2023
6,600351,亚宝药业,24268.8462,-99.99,,268603.7569,-7.69,,66186.6911,25906.7167,-81.3966,13952.342,,105964.3532,162639.4037,,,,2024FY,2024
7,600351,亚宝药业,17977.438513,6.99,2184.9901,144368.6438,-5.82,,37148.3142,12750.7086,12.9007,6890.2063,,56802.1298,21214.1586,,-598.8652,-122.9466,2024HY,2024
8,600351,亚宝药业,10977.200455,1.14,,,,,,,,,,,,,,,2024Q1,2024
9,600351,亚宝药业,17439.7241,-2.99,1799.1575,113940.8465,-21.08,,,,,,,28529.7674,87210.2366,21243.014,-1001.0853,748.7536,2025HY,2025
10,600351,亚宝药业,10606.8468,-3.37,,61453.3394,,28925.6463,11191.4491,5938.3276,,2156.7037,883.1933,49074.2318,12832.198,12830.5385,-309.5784,-278.3963,2025Q1,2025
11,600351,亚宝药业,19849.1469,-8.44,,170871.2223,-19.46,81787.9313,32746.3027,18038.5377,-251.3435,7229.1468,,139550.575,31320.6473,,,,2025Q3,2025
