serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600422,昆药集团,57212.888,71338.225,91453.1718,31940.1618,,943195.822,6.06,30770.5186,,428943.6247,,,,46.45,1460361682.05,498302.3496,2022FY,2022
2,600422,昆药集团,127072.90936,102427.26946,135707.39399,60379.53766,9584.015911,956538.327317,1.41,210822.8629,,426794.31855,10.36,9060.391957,2331.316226,0.0,129854.56988,529744.408236,2023FY,2023
3,600422,昆药集团,123859.34,268017.36,179292.7,8000.0,,902572.91,-4.31,0.0,9088.55,404323.31,0.0,9088.55,52668.2,44.55,299743.11,508603.11,2023HY,2023
4,600422,昆药集团,128120.895211,285973.562811,171765.04385,,,924443.455347,,70807.065225,,397506.767172,,,,43.0,284621.901463,511394.575417,2023Q1,2023
5,600422,昆药集团,,,,,,929052.9605,,,,,,,,,,524681.2922,2023Q3,2023
6,600422,昆药集团,226573.96,7942.87,95842.61,47128.2025,,1261136.713357,2.57,49095.53,,586509.9559,108.58,587.1877,,54.07,3113354565.01,525364.85,2024FY,2024
7,600422,昆药集团,73764.0928,56752.0489,80522.7083,78546.4898,,1005778.626993,5.15,44083.4748,,450222.258632,10.87,3466.1451,,81.27,149143.0352,555556.368361,2024HY,2024
8,600422,昆药集团,,,,,,982082.363071,6.23,,,,,,,,,559423.680943,2024Q1,2024
9,600422,昆药集团,,,,,,1002169.1857,4.77,,,,,,,,,571227.2052,2024Q3,2024
10,600422,昆药集团,124901.572098,325014.0701,146406.907,182729.922744,,1265778.8827,0.37,53867.8516,,113850.0,-74.71,107.0018,,2.18,360176.1355,522695.9646,2025HY,2025
11,600422,昆药集团,119946.14887,340469.761742,161188.015011,151117.469473,,1270452.416169,29.36,64164.630934,,584342.310083,,,,45.99,,534542.619841,2025Q1,2025
12,600422,昆药集团,79404.4599,312038.335,143044.0731,,,1200613.1969,-4.8,52994.8676,,515041.3157,-11.84,,,42.9,365706.4715,685571.8812,2025Q3,2025
