serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600422,昆药集团,253895474.83,0.9,165839.164,78.03,141608597.05,31940.1618,15.03,32870324.13,52864853.12,,,14761.22,6.95,2022FY,2022
2,600422,昆药集团,35608.31603,40.25,35608.31603,-192.5,,-33921.980767,183.38,,,,,-20184.102525,109.12,2023FY,2023
3,600422,昆药集团,-28919.37,-12.25,-28919.37,75.57,377063.83,22147.77,-57.88,0.0,22147.77,0.0,31495.55,-31495.55,82.3,2023HY,2023
4,600422,昆药集团,-37079.754949,,-55688.916946,150.49,,30329.565679,-81.96,,,,,-11644.691067,31.47,2023Q1,2023
5,600422,昆药集团,-493080139.24,68.44,,,,,,,,,,,,2023Q3,2023
6,600422,昆药集团,80806.56,7.12,80806.56407,105.48,,8602.8,11.23,,,,,-12799.01,-16.71,2024FY,2024
7,600422,昆药集团,13520.184048,146.75,13520.184048,-202.53,28085.1756,-18016.623462,269.88,103555.3256,,32685.2715,35225.5054,-2179.276798,32.64,2024HY,2024
8,600422,昆药集团,-524422.0182,-1314.31,-10198.726598,100.0,,,,,,,,,,2024Q1,2024
9,600422,昆药集团,-161369908.44,694.8,21634.1027,100.0,,,,,,,,,,2024Q3,2024
10,600422,昆药集团,218830956.35,-22.2,21883.0956,-22.11,,-136218.3681,137.63,,,,,15360.7758,-15.52,2025HY,2025
11,600422,昆药集团,-105622.33825,79.86,-13944.642873,13.2,162529.335157,-104372.082102,98.81,,,,,12690.877363,-12.01,2025Q1,2025
12,600422,昆药集团,-1411818361.96,-774.9,17616.3667,-12.47,,-147488.0041,104.41,,,,,-11381.381,8.06,2025Q3,2025
