serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600422,昆药集团,38318.36,-24.52,,182862.17,,,24325.68,3790.72,383.09,6965.15,,35464.64,147397.53,,,,2022FY,2022
2,600422,昆药集团,44467.996122,16.05,11785.6326,770312.1257,-6.99,425058.050927,243264.086801,31354.447481,1026.901594,7126.330976,0.0,499782.98926,56361.99,56361.99,,,2023FY,2023
3,600422,昆药集团,22336.99,3.12,,377063.83,,207475.03,118762.0,16370.57,579.93,3057.54,,343169.35,22336.99,22336.99,0.0,0.0,2023HY,2023
4,600422,昆药集团,13421.150935,,,,,,55003.935022,8865.957116,648.48251,1650.612136,,66168.9868,16961.170412,16832.457309,-540.922044,-2497.07025,2023Q1,2023
5,600422,昆药集团,39622.5302,3.61,,,,,,,,,,,,,,,2023Q3,2023
6,600422,昆药集团,751220665.56,16.93,12139.0833,8401447233.37,-0.34,,222608.24,37124.38,1398.82,10676.13,,271807.57,21710.5592,21710.5592,,,2024FY,2024
7,600422,昆药集团,22948.334845,2.74,,355442.1629,-5.73,,,,,,,,,,,,2024HY,2024
8,600422,昆药集团,12097.165995,-9.86,,,,,,,,,,,,,,,2024Q1,2024
9,600422,昆药集团,39051.3081,-0.36,,545745.4883,,,,,,,,,,,,,2024Q3,2024
10,600422,昆药集团,19835.522,-17.92,,335134.7279,-11.68,201584.630001,80886.149281,17425.603583,2310.886774,4389.135115,,306596.4048,24568.7192,29894.0269,,,2025HY,2025
11,600422,昆药集团,11355.244159,-6.13,2435.383491,,-16.53,101474.04985,34153.546286,8628.026809,1145.148582,2235.696835,,147636.4684,,,-293.487047,909.527576,2025Q1,2025
12,600422,昆药集团,32340.4752,-39.42,,,,,123176.0849,26501.5044,3430.5671,7280.2481,4816.1681,453035.4856,37929.83,37842.1051,-822.653,-1836.527,2025Q3,2025
