serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600436,漳州片仔癀,687303.06,1386.79,687303.06,-90494.15,,-630480.67,83012.6,,,,,-57581.89,7581.55,2022FY,2022
2,600436,漳州片仔癀,220663.15,0.0,220663.15,-165.07,0.0,-277411.91,207.52,0.0,0.0,0.0,0.0,-76929.74,57.55,2023FY,2023
3,600436,漳州片仔癀,136860.97,-74.49,136860.97,436.84,504527.57,-95769.13,-305.68,95769.13,95769.13,9762.29,9762.29,-9762.29,-31.16,2023HY,2023
4,600436,片仔癀,507498.12578,,63442.396266,100.0,,,,,,,,,,2023Q1,2023
5,600436,漳州片仔癀,139485708.83,,237953.5115,1768.0,,-131137.3185,-974.35,,,,,-93357.2833,-693.65,2023Q3,2023
6,600436,漳州片仔癀,329241950.47,12.62,14879881637.1,147.07,14879881637.1,-1012884685.75,-10.01,1012884685.75,0.0,989932208.92,3749150100.87,-3749150100.87,-37.05,2024FY,2024
7,600436,片仔癀,38149.47,-72.13,38149.4673,77.73,,3069.0745,6.25,,,,,7858.3795,16.01,2024HY,2024
8,600436,漳州片仔癀,53148.274416,-16.23,53148.274416,43.81,,59218.365753,48.82,,,,,8943.755085,7.37,2024Q1,2024
9,600436,漳州片仔癀,2113508136.78,-45.41,1298895965.56,61.63,503143.8834,2258994753.52,107.18,,,,,-1450233816.47,-68.81,2024Q3,2024
10,600436,片仔癀,37554.42,-1.56,37554.4162,-33.79,,-38885.7003,34.99,11456.2674,41282.7032,172.3995,2280.5856,-109803.7322,98.8,2025HY,2025
11,600436,漳州片仔癀,-9439.285574,-117.76,91591.461689,-959.86,,-93984.90644,984.94,,,,,-7148.7106,74.92,2025Q1,2025
12,600436,片仔癀,,-62.53,486737382.18,100.0,,,,,,,,,,2025Q3,2025
