serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600436,漳州片仔癀,4.1,869400.15,8.38,,247234.47,1.66,,18.78,23.5,11.62,247604.38,2.89,45.66,28.46,25.62,2022FY,2022
2,600436,漳州片仔癀,4.64,1005849.73,24.33,15.69,279735.15,13.15,13.15,22.64,22.64,3.68,285383.35,15.26,46.82,27.82,23.1,2023FY,2023
3,600436,漳州片仔癀,2.55,504527.57,14.08,91.87,154083.71,17.23,100.19,21.02,12.73,2.27,157726.41,19.8,74.23,30.58,13.03,2023HY,2023
4,600436,片仔癀,1.28,262951.763049,,-69.75,76968.131805,,-68.87,,6.57,1.0551,77076.028872,,,29.27,0.61,2023Q1,2023
5,600436,漳州片仔癀,3.99,759987.6767,14.88,50.63,240464.8415,17.16,56.06,,19.56,3.9483,244082.8522,18.39,59.84,31.76,19.56,2023Q3,2023
6,600436,漳州片仔癀,4.93,1078786.31,7.25,-99.99,297700.25,5.06,-99.99,18.2,8.36,18.2,304147.14,6.57,42.84,27.64,20.3,2024FY,2024
7,600436,片仔癀,2.85,565058.76,12.0,78.21,172153.96,11.73,76.66,22.78,12.1,6.36,175124.3192,11.03,44.83,30.52,19.85,2024HY,2024
8,600436,漳州片仔癀,1.62,317069.152878,20.58,-68.48,97450.715385,26.61,-65.16,,7.03,0.8835,98835.16059,28.23,47.26,30.73,6.9,2024Q1,2024
9,600436,漳州片仔癀,4.45,8450322100.75,11.19,1495376.7,2686684743.25,11.73,1560529.07,,18.4,129889.5966,2715486372.65,11.25,45.44,31.79,18.6,2024Q3,2024
10,600436,片仔癀,2.39,537853.71,-4.81,71.21,144230.93,-16.22,44.26,24.37,9.62,6.26,145287.3039,-17.04,40.46,26.89,9.69,2025HY,2025
11,600436,漳州片仔癀,1.66,314152.911084,-0.92,-70.88,99978.369543,2.59,-66.42,25.29,6.77,1.52,100504.179922,1.69,54.85,32.14,6.82,2025Q1,2025
12,600436,片仔癀,3.53,7442366108.35,-11.93,1383615.68,2129347677.38,-20.74,1476246.08,,14.31,0.8069,1890645408.72,-30.38,,28.75,13.06,2025Q3,2025
