serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600479,千金药业,0.7093,402627.86,7.13,9.89,30362.52,0.52,0.52,5.16,13.89,0.53,27978.27,10.66,64.78,12.71,12.8,2022FY,2022
2,600479,千金药业,0.7583,379848.533,-5.66,338.57,32040.5835,5.92,299.52,238967.2142,13.91,1.03,30358.3259,8.94,45.83,8.43,13.91,2023FY,2023
3,600479,千金药业,0.2717,191280.6548,105.4,105.4,11671.10914,1.71,105.4,10.22,5.18,-9609.8391,11116.856968,8.47,47.45,7.55,5.18,2023HY,2023
4,600479,千金药业,0.1021,96019.838073,,-76.15,4390.668863,,-85.54,,1.96,-0.4512,3588.410515,0.54,,4.57,1.25,2023Q1,2023
5,600479,株洲千金药业,0.1868,86610.3122,-12.0,-54.72,8019.7114,10.72,-31.29,,3.59,0.1724,7756.33,13.96,,9.26,3.41,2023Q3,2023
6,600479,千金药业,0.5579,362980.4492,-4.44,359.26,23075.6619,-27.98,358.27,5.86,9.54,0.95,21881.5693,-27.92,55.79,6.36,9.54,2024FY,2024
7,600479,千金药业,0.2777,192428.100744,0.6,92.29,11772.304732,0.87,154.82,4.05,4.86,-0.1827,11062.3865,-0.49,-548234.15,6.12,4.56,2024HY,2024
8,600479,千金药业,0.1077,100074.088198,4.22,-73.65,4619.804786,5.22,-85.58,,1.91,-0.3968,4350.864161,21.25,,4.62,1.41,2024Q1,2024
9,600479,千金药业,0.1188,79036.4986,-8.74,-58.93,5035.3516,-37.21,-57.23,,2.11,0.1158,5133.457,-33.82,,6.37,1.68,2024Q3,2024
10,600479,千金药业,0.3012,181799.869142,-5.52,80.89,12772.514244,8.5,140.29,5.72,5.11,-0.1036,11789.772627,6.58,50.08,6.99,4.72,2025HY,2025
11,600479,千金药业,0.1254,100502.3395,0.43,-72.31,5315.5317,15.06,-76.96,,2.11,-0.2934,4776.1529,9.77,47.23,5.29,1.9,2025Q1,2025
12,600479,千金药业,0.1425,90033.6855,13.91,-50.48,5963.0031,18.42,-53.31,,2.41,0.5806,5174.0397,0.79,49.87,6.62,1.59,2025Q3,2025
