serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600479,千金药业,30362.52,,,1778540.92,,,91158.28,,,,,91158.28,1687382.64,,,,2022FY,2022
2,600479,千金药业,32040.5835,5.92,,379848.533,-78.64,330724354.71,90427.0043,26357.9443,-4543.0049,14906.7058,,330851503.3595,46041.95,,,,2023FY,2023
3,600479,千金药业,11671.1091,1.71,952.193429,191280.654825,,105146.643784,50282.166502,12649.677384,-1205.940267,6069.377362,14.1791,16135.1787,16900.0,16915.4458,-16.294,-1134.0563,2023HY,2023
4,600479,千金药业,5674.739326,9.83,,,0.78,,,,,,,,,,,,2023Q1,2023
5,600479,株洲千金药业,23961.4143,8.72,,277890.967,,,,,,,,,,,,,2023Q3,2023
6,600479,千金药业,23075.6619,-27.98,,362980.4492,-4.44,194633.8663,84948.5024,29020.7399,-2706.0647,22020.4531,2871.1487,308503.1686,33530.76,33530.76,,,2024FY,2024
7,600479,千金药业,11772.3047,0.87,8739683.79,192428.1007,0.6,1055148991.3,438686688.89,123360245.32,-6620545.61,114750778.24,19315782.14,1744641940.28,-1735709828.3893,,833771.59,-15281274.91,2024HY,2024
8,600479,千金药业,6100.784998,5.22,,,4.22,,,,,,,,7128.500323,,,,2024Q1,2024
9,600479,千金药业,12772.514244,8.5,554.7761,181799.8691,-5.52,90958.597869,47336.780723,13337.236857,-479.187225,10418.364841,,161571.7931,19437.233751,19437.233751,-203.8166,-1013.2101,2025HY,2025
10,600479,千金药业,7231.9004,18.46,,100502.3395,0.43,53033.1605,25459.5958,6537.5218,,6146.1709,1079.3751,92255.8241,8003.8613,7947.0987,,,2025Q1,2025
11,600479,千金药业,25823.287,19.95,,271833.5547,,136259.0677,72194.1834,21250.1698,-1381.5213,14490.3869,,242812.2865,30058.8152,29871.2364,,,2025Q3,2025
