serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600518,ST康美,-904700000.0,-450.11,-74996.1986,83.52,,-3039.9623,3.39,,,,,-11754.9955,13.09,2022FY,2022
2,600518,ST康美,-317521751.66,0.0,-31752.1752,78.54,14307.7358,-3925.5699,9.71,0.0,0.0,7260.0848,19344.5874,-4752.0702,11.75,2023FY,2023
3,600518,ST康美,-19017.98718,-33.62,-19017.98718,80.27,139221.1224,340.986822,-1.44,2638.8086,7.2188,,2878.4783,-5015.888202,21.17,2023HY,2023
4,600518,ST康美,-220529.4626,,-20322.390059,82.74,,-2259.2924,9.2,,,,,-1978.6334,8.06,2023Q1,2023
5,600518,ST康美,-340779123.62,0.0,-253310510.35,74.33,3951142330.68,-5497108.54,1.61,48121902.92,42769986.0,0.0,0.0,-81977348.86,24.06,2023Q3,2023
6,600518,康美药业,-42763.27573,0.0,-42763.27573,378.76,,13991.500322,-123.92,,,,,17481.461348,-154.84,2024FY,2024
7,600518,康美药业,-31886.05338,168.32,-31886.05338,101.92,247433.89811,2790.691232,-8.92,2790.691232,2790.691232,2189.523891,2189.523891,-2189.523891,7.0,2024HY,2024
8,600518,ST康美,-31329.336023,85.79,-33255.791045,100.0,,,,,,,,,,2024Q1,2024
9,600518,康美药业,-349692169.54,-2.62,-349692169.54,97.15,,25799187.84,-7.17,,,,,-36046035.02,10.01,2024Q3,2024
10,600518,康美药业,-82116847.68,-100.0,-8211.68,183.01,257739.71,-1728.52,38.52,1728.52,2790.69,2189.52,5453.28,5453.28,-121.54,2025HY,2025
11,600518,康美药业,-70341498.23,-224422.79,-10138.511,144.13,,-678.3024,9.64,,,,,3782.6636,-53.78,2025Q1,2025
12,600518,康美药业,201464225.35,157.61,137842499.8,68.42,,-54036265.58,-26.82,,,,,117664344.35,58.4,2025Q3,2025
