serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600518,ST康美,-0.19,418015.033,0.67,0.0,-268867.4015,-133.96,0.0,4.96,-31.87,-0.54,-150854.9745,-133.96,13.32,-64.32,-373.6,2022FY,2022
2,600518,ST康美,0.01,487401.6143,16.6,16.6,10252.1231,104.16,104.16,7047558995.6,1.47,-0.031,-75285.8616,49.96,10.79,2.11,-10.79,2023FY,2023
3,600518,ST康美,-0.009,237700.183734,33.62,107.79,-12585.816421,-33.62,-149.68,682546.202968,-1.83,-0.0136,-20612.405953,-33.62,100.0,-5.29,-2.99,2023HY,2023
4,600518,ST康美,-0.004,114394.616237,,-72.63,-5040.857468,,98.13,-0.73,-0.07,-0.0161,-8890.15107,,7.86,-4.41,-0.13,2023Q1,2023
5,600518,ST康美,-0.011,3534121140.35,,1486697.82,-148009117.22,0.0,-1175899.33,,-2.17,-0.0188,-313853081.39,0.0,0.0,0.0,-4.59,2023Q3,2023
6,600518,康美药业,0.0006,518913.719965,6.47,-99.96,857.366273,-91.64,100.01,5.052996,0.1215,0.0009,-53338.400189,-91.64,12.06,0.23,-7.5601,2024FY,2024
7,600518,康美药业,0.001,247433.89811,4.09,105.98,1576.032584,123.88,110.94,0.0464,0.22,-0.0053,-10813.461587,47.54,15.34,0.64,-3.34,2024HY,2024
8,600518,ST康美,0.001,120123.953891,5.01,-75.35,747.130845,114.82,-92.71,,0.11,-0.0445,-5847.647008,,,0.62,-0.83,2024Q1,2024
9,600518,康美药业,-0.001,1399219327.56,-60.41,565392.17,-10744788.24,92.74,-681861.81,,-0.15,-0.0325,-71387593.9,,19.09,0.13,-1.01,2024Q3,2024
10,600518,康美药业,0.001,,,,18763754.89,7.24,2205899.72,,0.24,-0.0,-361.86,-100.0,18.84,,-0.05,2025HY,2025
11,600518,康美药业,0.001,129929.7938,8.16,-74.96,850.5783,13.85,-0.79,,0.12,-0.001,-257.2528,-98.59,23.16,0.66,-0.04,2025Q1,2025
12,600518,康美药业,0.0,1382206417.41,-1.22,,-3819080.55,-100.0,-120.35,,-0.05,-0.0,-34318121.4,-100.0,-1632889.35,-0.28,-0.48,2025Q3,2025
