serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600518,ST康美,-2600473.2014,,4536.6196,418015030000.0,,354714.8036,46664.4245,61449.1352,,2544.6504,19522.1704,484895.1841,418014549641.4355,,-49715.5308,-22747.9551,2022FY,2022
2,600518,ST康美,102521231.11,1660.0,3864.848,487401.6143,-100.0,404215.9412,55178.2111,50212.2894,2711.8493,4561.7688,-27418.2215,3888.0747,102521231.11,,-19755.1564,20216.5029,2023FY,2023
3,600518,ST康美,-12506.4956,0.0,3648.371488,237700.1837,0.0,0.0,30916.124053,25445.1253,-892.31958,2357.860573,0.0,21206.854326,25631.334414,25631.334414,73.611279,740.279404,2023HY,2023
4,600518,ST康美,-4976.538327,,448.4096,56167.8934,,51752.457,5542.8599,4797.803,-512.3492,,,61580.7707,-4964.4677,,,-133.5791,2023Q1,2023
5,600518,ST康美,-146538808.79,,41399039.97,161686.294,,2935654606.75,437359803.22,384720983.84,-13684056.09,37842182.24,53978321.68,3835871841.64,-139115834.08,-132546978.03,782692.3,66713228.26,2023Q3,2023
6,600518,康美药业,1208.219872,-88.32,33754.8057,518913.72,6.46,,41699.6237,54278.5988,518.2566,5145.6446,,101642.1237,-2478.8398,3465.044,-14274.0044,-113.0016,2024FY,2024
7,600518,康美药业,1812.0193,114.49,19781209.49,247433.8981,4.09,211413.662451,19181.175435,24483.909594,-127.49271,2278.603619,,257229.8584,19771413.5297,,,,2024HY,2024
8,600518,ST康美,861.281671,117.31,,,5.01,,,,,,,,,,,,2024Q1,2024
9,600518,康美药业,-6271.5097,100.0,16007671.49,177161.7297,9.57,,312989742.49,376004973.56,-2874198.08,32164804.25,34368660.08,752653982.3,-736469149.0803,,-465843.53,55987468.51,2024Q3,2024
10,600518,康美药业,1690.14,7.24,2280.02,257739.71,4.17,209188.28,24196.64,23717.51,45.01,1791.24,,258938.68,1081.05,2852.19,-79.87,4203.46,2025HY,2025
11,600518,康美药业,896.8671,4.13,439.02,59698.5733,,49632.8261,10557.0591,11420.8004,14.6722,930.9319,1175.3161,130506.3457,447.8964,,,242.5237,2025Q1,2025
12,600518,康美药业,-75.3766,98.8,1412.8595,196241.4901,10.77,3204602637.88,385739589.26,367816518.44,-62.7963,32691882.64,37110255.98,4028487323.58,31731784.63,30593043.45,-798496.74,39160071.24,2025Q3,2025
