serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600535,天士力,2285134812.05,192.19,112496.2579,905.42,112496.2579,-104944.5178,-844.64,346510.4967,288179.4473,4000.0,4000.0,4873.0756,39.22,2022FY,2022
2,600535,天士力,2575634584.95,12.98,1227879829.08,100.03,860509.7226,-210855.8293,-0.02,178289.2141,,32306.6992,151066.8564,-119634.9499,-0.01,2023FY,2023
3,600535,天士力,841273559.86,34.67,84127.355986,358.92,4392000759.73,-39803.6637,-169.82,5108362.93,5000000.0,150158007.0,102948007.0,-20884.5101,-89.1,2023HY,2023
4,600535,天士力,-241184227.5,,149327174.29,99.98,64433.1924,-117025.6278,-0.08,,,,,153414.5347,0.1,2023Q1,2023
5,600535,天士力,63312.965532,,108954.705326,172.11,,-29854.959291,-47.16,,,,,-15795.734223,-24.95,2023Q3,2023
6,600535,天士力,2014559042.35,-21.78,201455.9042,-201.53,673615.4158,-110416.0822,110.46,752419.1475,723661.9784,175343.5,209844.1934,-191003.9039,191.07,2024FY,2024
7,600535,天士力,88671.370355,0.0,88671.3704,-392.83,0.0,-123828.793753,548.58,0.0,0.0,0.0,0.0,12584.779047,-55.75,2024HY,2024
8,600535,天士力,-116289861.3,51.78,-33690.518862,-617.98,,-29563.552624,-542.28,,,,,68705.808928,1260.26,2024Q1,2024
9,600535,天士力,-1176765701.54,-1858748.84,118992.9758,-101.2,384796.4729,-149910.0284,127.49,,,,,-86667.7828,73.71,2024Q3,2024
10,600535,天士力,78959.227979,-10.95,78959.228,178.02,23729.9729,-58180.3625,-131.17,273934.187,220000.0335,100000.0,4385.1944,23576.2594,53.15,2025HY,2025
11,600535,天士力,-7832.571768,99.99,-36237.020385,463.56,99201.7624,-4807.687568,61.5,,,,,33227.63814,-425.07,2025Q1,2025
12,600535,天士力,365734781.57,-117.68,872617299.66,235.82,5917300429.52,140885950.26,38.07,3889392030.36,3953437389.04,355541669.67,1364869505.17,-643460306.77,-173.89,2025Q3,2025
