serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600557,康缘药业,0.75,435087.19,19.25,19.25,43446.74,35.54,19.25,7.66,9.61,1.73,39495.48,30.87,72.38,10.0,8.73,2022FY,2022
2,600557,康缘药业,0.93,486780.6702,11.88,11.88,53673.2878,23.54,23.54,8.91,10.75,3.33,49948.2944,26.47,65.37,11.03,10.75,2023FY,2023
3,600557,康缘药业,0.47,255316.7904,21.74,88.77,275720868.32,30.6,1949306.58,,5.64,0.7779,262580263.63,29.93,74.53,10.81,5.37,2023HY,2023
4,600557,江苏康缘药业,0.25,135249.3842,25.39,-68.91,14143.8359,28.6,-67.45,,2.93,-0.1072,13936.294,30.7,,10.46,2.75,2023Q1,2023
5,600557,康缘药业,0.13,94286.3118,-8.31,-63.07,7380.5382,5.11,-100.0,,1.49,77373.0389,5483.5862,-10.47,69.56,7.83,1.06,2023Q3,2023
6,600557,康缘药业,0.68,389766.85,-19.86,358.69,39186.21,-15.58,327.23,6.53,7.97,3.07,36318.69,7.39,73.61,9.79,7.39,2024FY,2024
7,600557,康缘药业,0.46,225979.62276,-11.49,66.28,26542.319443,-3.73,79.29,10.26,5.04,0.67,22070.4704,-15.95,74.47,11.74,4.19,2024HY,2024
8,600557,康缘药业,0.26,135902.0286,0.48,-72.08,14804.4959,4.67,-72.42,,2.69,0.3493,13964.6746,0.2,,10.89,2.53,2024Q1,2024
9,600557,康缘药业,0.16,84973.963,-9.88,-62.4,9172.1685,24.28,-65.44,,1.72,60752.2058,6446.5113,17.56,,10.79,1.21,2024Q3,2024
10,600557,康缘药业,0.25,164157.792856,-27.36,87.06,14236.935366,-40.12,70.68,,3.1,0.2535,11999.567379,-45.63,,8.67,2.62,2025HY,2025
11,600557,康缘药业,,87755.4089,-35.38,-77.49,8341.298,-38.37,-78.71,,1.74,0.15,8199.8943,-41.28,73.43,9.51,1.83,2025Q1,2025
12,600557,康缘药业,0.1,70111.0452,-17.49,-57.29,5727.2393,-20.88,-59.77,,1.22,0.6043,4012.8947,-37.75,,8.17,0.82,2025Q3,2025
