serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600566,济川药业,2620832879.02,38.35,262083.2879,100.07,35157.7934,0.0,0.0,0.0,0.0,0.0,0.0,-179.2026,-0.07,2022FY,2022
2,600566,济川药业,,,346395.8636,100.0,,,,,,,,,,2023FY,2023
3,600566,济川药业,2198530.54,50.03,219853.0536,64.2,,138254.2092,40.37,,,,,-15646.7922,-4.57,2023HY,2023
4,600566,湖北济川药业,2648818.19316,,130152.443303,8.79,,1351078.22601,91.24,,,,,-378.446588,-0.03,2023Q1,2023
5,600566,湖北济川药业,2857087700.84,,285963.9142,100.09,,40652.9473,14.23,,,,,-40908.0914,-14.32,2023Q3,2023
6,600566,济川药业,217643.7,-37.17,217643.7016,-203.67,,-203991.65,190.89,,,,,-120514.06,112.78,2024FY,2024
7,600566,济川药业,156727.62,-28.71,156727.6166,100.0,,,,,,,,,,2024HY,2024
8,600566,湖北济川药业,3654096869.3,137851.97,133880.2553,36.64,,166354.8408,45.53,,,,,65174.5908,17.84,2024Q1,2024
9,600566,济川药业,-121491.949324,-100.0,173951.269834,-143.18,,-207659.758857,170.92,,,,,-87783.460301,72.25,2024Q3,2024
10,600566,济川药业,97247435133.0,-37.95,97247.4351,-0.34,,-9760382.9237,33.82,,,,,-19193823.0342,66.51,2025HY,2025
11,600566,济川药业,74575.815768,-100.0,79390.447578,106.46,,-919.710558,-1.23,,,,,-3894.921252,-5.22,2025Q1,2025
12,600566,济川药业,,-59.56,70351.1369,100.0,,,,,,,,,,2025Q3,2025
