serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600566,济川药业,217075.4634,17.63,2013.6781,897649.62,17.84,153741.135,411272.7521,36424.004,,55330.3051,13880.9608,657836.6518,250792.0918,250792.0918,0.0,3638.7738,2022FY,2022
2,600566,济川药业,134205.7774,-38.75,757.3522,462897.6049,18.76,,200154.06,18086.94,-10493.41,21506.45,7061.8265,236315.8665,144689.5785,156246.6615,,,2023HY,2023
3,600566,湖北济川药业,67815.731897,16.44,465.671405,238829.688409,9.87,42936.28694,108919.603401,8387.569491,-3868.841788,10662.882283,,167037.5003,76033.680006,78950.683915,,,2023Q1,2023
4,600566,济川药业,253670.6331,,,801689.4757,,,,,,,,,,,,,2024FY,2024
5,600566,济川药业,133830.6956,-0.11,11670.5622,403440.021,-12.84,,161014.38,18957.96,-17819.61,20820.44,,182973.17,232137.4132,,,,2024HY,2024
6,600566,湖北济川药业,84678.7304,24.87,,240254.5954,0.6,45369.8653,98964.5387,9173.6719,-9376.6375,11422.1836,,155553.622,88592.5169,98979.0164,,,2024Q1,2024
7,600566,济川药业,190734.607063,,,580513.45112,,,219034.492391,30123.3712,,29686.146195,,278844.0098,211965.758092,,,,2024Q3,2024
8,600566,济川药业,72436.4011,-45.87,,274871.7966,-31.87,668448.22,97685.82,20960.09,-5572.83,18989.39,,143114.83,131756.9666,84904.2834,,,2025HY,2025
9,600566,济川药业,44129.266666,-47.89,,,,34701.071496,55767.173688,10192.49358,-2981.334037,10094.508437,,107773.9132,50232.43585,51466.900446,,,2025Q1,2025
10,600566,济川药业,102411.7002,-46.27,,,,,,,,,,,,,,,2025Q3,2025
