serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600572,康恩贝,115548.17,29.65,115548.17,5877.5,0.0,-21111.39,-1073.86,0.0,0.0,0.0,0.0,-92470.84,-4703.65,2022FY,2022
2,600572,康恩贝,89864.073023,-22.23,62790.3733,-675.37,,17799.1856,-191.45,,,,,-89886.8079,966.81,2023FY,2023
3,600572,康恩贝,43902.43,24.46,43902.43,1219.59,15733.6841,-20739.93,-576.15,0.0,0.0,11121.082,0.0,-19562.73,-543.44,2023HY,2023
4,600572,康恩贝,-3835.3302,,8289.727421,-219.08,13605.3681,-48831.340963,1290.49,,,,,36757.667908,-971.41,2023Q1,2023
5,600572,康恩贝,-292509606.16,,-2269.9669,-5.86,,49060.9179,126.55,,,,,-8024.0699,-20.7,2023Q3,2023
6,600572,康恩贝,101252.93,12.67,101252.93,152.83,58873.768,-13945.2313,-21.05,5025.4847,5560.0192,52000.0,111613.8761,-21055.8711,-31.78,2024FY,2024
7,600572,康恩贝,30521.76,-30.48,30521.7571,-24.62,0.0,-13702.52,11.05,0.0,0.0,0.0,0.0,-140801.39,113.57,2024HY,2024
8,600572,康恩贝,-16417.164552,393.58,16130.154274,-98.23,,-3240.068775,19.73,,,,,-29310.110438,178.5,2024Q1,2024
9,600572,康恩贝,-1751606562.11,-30.37,45845.507,-87.56,,18125.6406,-34.62,,,,,-116332.0382,222.17,2024Q3,2024
10,600572,康恩贝,40026.719426,31.14,40026.7194,-77.15,21669.1787,-39185.563582,75.53,0.0,0.0,12077.9662,24454.8355,-52723.777495,101.62,2025HY,2025
11,600572,康恩贝,-53678.185835,-226.96,15067.218896,-7.34,10549.2636,-51997.609545,25.31,,,,,-168482.43769,82.02,2025Q1,2025
12,600572,康恩贝,-52418.016349,100.0,53153.455939,100.0,,,,,,,,,,2025Q3,2025
