serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600572,康恩贝,35809.99,-10.21,2109.6244,600044.34,-10.21,,206156.35,51988.55,-1427.81,19571.7,0.0,276288.79,35809.99,35809.99,4002.99,0.0,2022FY,2022
2,600572,康恩贝,67500.0,14.6,86608391.48,673279.7037,12.2,31080.1379,228653.1091,54577.6841,,29809.0407,,344119.9718,73700.0,,,,2023FY,2023
3,600572,康恩贝,10000.0,143.01,6720.7684,3764542802.83,22.19,,,,,,,,,,,,2023HY,2023
4,600572,康恩贝,32487.384725,,4281.784175,213054.257091,,8515.5386,82536.63674,13765.444583,145.717678,4376.487295,214.1377,109553.9626,5514.9293,,-317.323972,-268.391063,2023Q1,2023
5,600572,康恩贝,69988.7141,,289.9298,46720.932,,22353.1271,15362.3243,7060.2891,1383.4314,3406.8733,,49566.0452,-2555.1834,,-25.0,187.1859,2023Q3,2023
6,600572,康恩贝,65835.4873,3.67,11138.3742,565911.66,-3.24,29786.1385,191550.9505,56453.6105,-1910.8602,30002.0328,7952.4307,313834.3028,263215.7314,,-4983.8088,-162.8337,2024FY,2024
7,600572,康恩贝,38219.8662,-25.95,5185.0042,344845.2319,0.0,14730.61,109187.972,24734.9125,,13349.57,4001.9154,166004.9799,184025.2562,,-1229.3083,-773.4487,2024HY,2024
8,600572,康恩贝,22996.470774,-29.21,,182424.515397,-14.38,78425.346174,59072.751501,12549.114372,,5937.992051,2451.939807,157537.446819,27026.849235,26939.256811,-1243.817153,-639.832196,2024Q1,2024
9,600572,康恩贝,54618.3845,-16.81,442.7151,46727.874,0.01,21682.7495,15947.1876,7894.0489,811.1685,3168.1343,,49503.2888,-2332.6997,,,,2024Q3,2024
10,600572,康恩贝,35360.7809,-7.48,2242.287905,335834.6724,-2.61,155397.916664,106152.668421,25581.832715,-511.187053,11980.876664,0.0,297133.41766,42850.7812,42850.7812,0.0,0.0,2025HY,2025
11,600572,康恩贝,19302.076041,-16.07,,168481.83791,-7.64,76143.30666,55432.965542,11701.350909,,5206.587868,2264.404444,150504.099849,22860.616234,224978.1424,,,2025Q1,2025
12,600572,康恩贝,58403.473645,12.65,,,,,,,,,,,,,,,2025Q3,2025
