serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600594,益佰制药,59235.54,29452.72,62508.46,0.0,14594.2,486580.7509,-3.99,14942.78,,168355.52,40.12,,53711.01,34.6,121940.22,304422.6375,2022FY,2022
2,600594,益佰制药,69946.8724,22705.5743,58665.0796,,,478035.39,-1.84,13505.758,,157899.8904,-6.21,,,37.55,,306754.45,2023FY,2023
3,600594,益佰制药,36442.91,102858.41,102858.41,7982.71,2271.83,499987.75,2.76,102858.41,4209.58,182733.02,-1.45,4209.58,501473.12,57.35,192812.25,317254.78,2023HY,2023
4,600594,益佰制药,68200.5535,26702.847,62345.8048,,,497045.3523,2.15,15146.2764,,173860.4042,4.32,3143.9366,62471.6252,34.98,126381.7509,308864.1672,2023Q1,2023
5,600594,贵州益佰,68549.0783,12800.1547,65436.813,,14594.1986,490138.4082,,17685.0202,,154988.6284,,6751.181,53711.0129,31.62,138968.7527,335149.7799,2023Q3,2023
6,600594,益佰制药,521007309.87,191361480.24,607774905.96,,,409970.1241,-10.82,124483297.23,,160994.2785,-10.82,27124413.57,380928986.1,40.99,-28053.5604,248975.8456,2024FY,2024
7,600594,益佰制药,36855.4784,6324.5843,15234.6663,,,4405858.15,-6.26,7412.5825,,1550804.84,-1.64,4746.9392,,55.33,,2855053.31,2024HY,2024
8,600594,贵州益佰,,,,,,470579.84,-5.32,,,,,,,,,312998.28,2024Q1,2024
9,600594,贵州益佰,,,,,,416715.7491,-9.36,,,,,,,,,264805.5698,2024Q3,2024
10,600594,益佰制药,69514.6757,22018.9596,2241.2623,,447.2266,405232.1538,-1.16,51091.1908,,146855.5655,0.0,3563.0378,51091.1908,14.58,,246986.9885,2025HY,2025
11,600594,益佰制药,,,,,,399490.2809,-15.11,,,,,,,,,259468.2464,2025Q1,2025
12,600594,益佰制药,,,,,,383818.8522,-6.38,,,,,,,,,240317.9138,2025Q3,2025
