serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600594,益佰制药,-0.539,273526.2839,-18.51,,-42646.7196,-274.94,-274.94,304422.64,-12.963,0.158,-46785.7212,-351.65,81.35,-15.6,-12.963,2022FY,2022
2,600594,益佰制药,0.131,282056.1,3.12,329.22,10339.9,317.07,146.4,3.07,3.34,0.4784,6745.49,317.07,78.44,3.66,2.179,2023FY,2023
3,600594,益佰制药,0.162,147970.1367,2.33,116.39,12790.6049,0.84,190.7,4.02,4.115,0.256,10406.51,-12.28,66.35,8.66,3.348,2023HY,2023
4,600594,益佰制药,0.056,68379.7927,-0.59,-75.0,4399.9943,-12.96,110.32,,1.42,0.0748,3181.1164,-33.17,68.01,6.43,1.03,2023Q1,2023
5,600594,贵州益佰,0.053,65713.2885,,-55.59,4196.3912,,-67.19,,1.25,0.4334,3888.1543,,,6.39,1.16,2023Q3,2023
6,600594,益佰制药,-0.402,217403.1579,-22.92,298.43,-31721.5358,-406.79,-406.87,248975.8456,-11.781,0.0,-32317.4294,-579.1,72.93,-14.59,-11.781,2024FY,2024
7,600594,益佰制药,-0.134,116819.14,-14.34,-14.34,-10649.34,-183.26,-89.96,3.77,-3.761,0.256,-11153.97,-207.18,-14.75,-9.52,-3.94,2024HY,2024
8,600594,贵州益佰,-0.086,57264.61,-16.26,-79.7,-6845.48,-255.58,-166.2,,-2.257,0.1203,-7079.3,,,-11.95,-2.26,2024Q1,2024
9,600594,贵州益佰,-0.08,54564.8894,-16.97,-53.29,-6265.7845,-249.31,41.16,,-2.37,0.2551,-6809.2758,-275.13,,-11.48,-2.57,2024Q3,2024
10,600594,益佰制药,-0.025,99312.3554,0.0,98.04,-1990.2058,0.0,-112.05,246986.9885,-0.803,0.0,-3106.2985,-14.99,0.0,0.0,-1.253,2025HY,2025
11,600594,益佰制药,-0.012,50148.0776,-12.43,-76.93,-938.5719,86.29,97.04,,-0.378,0.0096,-1566.3345,,,-1.87,-0.6,2025Q1,2025
12,600594,益佰制药,-0.085,45358.0934,-16.87,-54.33,-6666.0564,-6.39,-234.94,,-2.77,0.2599,-5338.7601,,,-14.7,-2.22,2025Q3,2025
