serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600613,神奇制药,,,,,,338108.550875,7.37,,,44342277.0,0.0,,,0.72,,232744.99,2022FY,2022
2,600613,神奇制药,71527699264.0,39317980542.0,24285943585.0,2089767962.0,6395460597.0,327933.57,-1.9,24985249843.0,221548.42262,88876963545.0,-2.58,2124001.51114,1799895168.0,48.97,73891954712.0,233538.72,2023FY,2023
3,600613,神奇制药,71723.7916,40683.713,22601.5007,2002.5786,,326372.9886,-3.47,21641.2816,3066.961,90037.3196,-9.66,,2420.0,36.77,16418.4949,231546.7206,2023HY,2023
4,600613,神奇制药,,,,,,317567.71925,,,,,,,,,,239851.478488,2023Q1,2023
5,600613,神奇制药,,,,,,321191.0587,-5.0,,,,,,,25.58,,239114.6068,2023Q3,2023
6,600613,神奇制药,77939.2576,32288.1577,22833.6103,2087.3771,14124.514,311581.26,-4.99,22384.7441,,68900.5266,22.1,3539.6806,,22.1,75217.4876,236303.85,2024FY,2024
7,600613,神奇制药,76365.5255,37728.8808,21769.9969,2094.2762,8156.8352,315021.2812,-3.94,23496.4485,2011.2129,76708.7772,-13.73,,3500.0,31.0,71678.7256,231849.2206,2024HY,2024
8,600613,神奇制药,,,,,,329234.3075,3.67,,,87663.9733,,,,26.63,,241570.3342,2024Q1,2024
9,600613,神奇制药,85354.4403,37844.9711,22869.044,,,321129.1369,-0.02,22082.1582,,78859.5365,,1924.0782,3200.0,24.56,74486.6174,242269.6004,2024Q3,2024
10,600613,神奇制药,68153.1797,0.0,20890.1109,4000.0,,300401.2748,-3.59,0.0562,,61447.9317,-19.89,,,4.58,6834.4621,231231.8211,2025HY,2025
11,600613,神奇制药,77521.0917,33745.9978,22375.483,,,312256.6299,0.22,21353.7515,,,,5660.6465,3200.9656,27.96,76716.9373,245015.4778,2025Q1,2025
12,600613,神奇制药,,,,,,308618.2417,-0.95,,,,,,,,,240940.4426,2025Q3,2025
