serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600613,神奇制药,0.09,2388617.67774,3.72,,4847.714178,-30.37,,4.357,2.07,31923.24,4862.280498,25.9,48.47714178,2.07,2.07,2022FY,2022
2,600613,神奇制药,0.11,234094.55,-1.99,0.0,5700.07,17.41,0.0,4.37,2.42,0.41,4910.4,0.84,49.93,2.49,2.08,2023FY,2023
3,600613,神奇制药,0.065,120567.5057,,106.88,3473.5719,8.64,46.0,,1.47,0.2664,3267.6,10.53,52.85,2.88,1.38,2023HY,2023
4,600613,神奇制药,0.04,58279.754036,,-97.56,2379.084661,,-50.92,,1.02,0.0395,2351.066582,,,4.08,0.98,2023Q1,2023
5,600613,神奇制药,0.06,50486.7892,-1.12,-58.13,3121.2848,32.98,-10.14,,1.31,0.3181,2854.9215,7.47,,6.18,1.19,2023Q3,2023
6,600613,神奇制药,0.13,204880.85,-8.36,0.0,7138.8,25.24,0.0,4.53,3.01,0.26,7112.15,44.84,47.53,3.22,3.01,2024FY,2024
7,600613,神奇制药,0.07,111036.6035,10.0,10.0,3783.7025,8.93,10.0,10.19,1.61,1.69,3750.5706,14.78,48.76,3.5,1.59,2024HY,2024
8,600613,神奇制药,0.04,57452.8831,-1.42,-75.46,2394.4714,0.65,-57.99,,1.01,0.0715,2377.1862,,,4.17,0.98,2024Q1,2024
9,600613,神奇制药,0.04,45290.7484,-10.29,-59.21,2151.6765,-31.06,-43.13,,0.89,0.1081,1996.9675,,38.72,3.76,0.82,2024Q3,2024
10,600613,神奇制药,0.06,96084.9847,-13.46,100.21,3280.8147,-13.29,118.8,34.27,1.38,4747.4115,3197.689,-14.74,48.41,3.41,1.34,2025HY,2025
11,600613,神奇制药,,47992.6835,-16.47,-76.58,1499.4497,-37.38,-79.0,,0.61,0.03,1499.1554,-36.94,46.77,3.12,0.61,2025Q1,2025
12,600613,神奇制药,0.03,43701.2144,-3.51,-54.52,1749.3457,-18.7,-46.68,,0.73,10983.3643,1602.7563,-19.74,,4.0,0.67,2025Q3,2025
